method,requested_count,selected_feature_count,f1_mean,f1_std,recall_mean,recall_std,roc_auc_mean,balanced_accuracy_mean,cohen_kappa_mean,quadratic_weighted_kappa_mean
random_forest,100,100,0.803875926748859,0.007185005809520607,0.8166024610368858,0.01041688937109298,0.9023151463568381,0.8238456816928152,0.6454966103857005,0.6454966103857005
random_forest,75,75,0.8037645415047807,0.007639040049326901,0.8166012223430636,0.01344423467792431,0.9015927847770555,0.8237576497584918,0.6452998601287698,0.6452998601287698
shap,100,100,0.8007490350768458,0.007135710093585401,0.8119306034173084,0.01292007460760604,0.9011498791962034,0.8211601025333763,0.6403974984029313,0.6403974984029313
random_forest,50,50,0.8007206424672138,0.01203331948410921,0.8121496044850625,0.02037071499522743,0.9001534493261178,0.8211825728621129,0.6403874904265063,0.6403874904265063
shap,150,150,0.7999746052619894,0.00755140373478615,0.8061431781415133,0.011105195342567193,0.9000176877100177,0.8208889204707652,0.6407148504172256,0.6407148504172256
mutual_information,all_203,203,0.7989591023212738,0.006377569966833696,0.8054757699101451,0.01038562854476864,0.8978466290920057,0.8199434047196474,0.6387661324394993,0.6387661324394993
random_forest,all_203,203,0.7989591023212738,0.006377569966833696,0.8054757699101451,0.01038562854476864,0.8978466290920057,0.8199434047196474,0.6387661324394993,0.6387661324394993
shap,all_203,203,0.7989591023212738,0.006377569966833696,0.8054757699101451,0.01038562854476864,0.8978469211162399,0.8199434047196474,0.6387661324394993,0.6387661324394993
random_forest,150,150,0.79886165754898,0.0063456390186084665,0.8063646565969117,0.011424261721074337,0.8987875793863992,0.8197762658569603,0.6382621243036367,0.6382621243036367
shap,75,75,0.7982086213649986,0.006834911535094296,0.8061426826639846,0.01117983065184407,0.899078612091011,0.8191411092718388,0.6369204853612219,0.6369204853612219
mutual_information,all,213,0.7972469540647308,0.007884349629033054,0.7996853717691769,0.013039064389919532,0.8963168480325535,0.8187966868267784,0.6371701835927539,0.6371701835927539
shap,all,213,0.7968965433708115,0.007854676594498337,0.8005762403660588,0.01313326115117557,0.8964500908518543,0.818367383439458,0.6361003689397126,0.6361003689397126
random_forest,all,213,0.7961234067632438,0.007853032814032818,0.7992424148583801,0.010584341289011801,0.8961813492493572,0.8177006236385275,0.6348659132631005,0.6348659132631005
mutual_information,150,150,0.7956931724031554,0.008330859214031604,0.802804155074557,0.01150808186067535,0.8971004391589348,0.8169460698529244,0.6326755933310302,0.6326755933310302
mutual_information,100,100,0.7935548983513663,0.005379769346020468,0.7965705522840276,0.007928401060624188,0.894701951220668,0.8154034597956306,0.6302918411982321,0.6302918411982321
shap,50,50,0.7882117290777084,0.007852108793467767,0.7936749816053966,0.011476759904956705,0.8941228730910623,0.810371911325308,0.6198197620953751,0.6198197620953751
mutual_information,75,75,0.7835718754978366,0.006145644761307958,0.7885586806424362,0.008791534194158844,0.8885488314821522,0.8062393400764934,0.6116420907525637,0.6116420907525637
mutual_information,50,50,0.7782980205657883,0.0061207881298361525,0.7807697738888297,0.012336418030651098,0.8817713721561986,0.8018206406045779,0.603224224177306,0.603224224177306
