rank,model,candidate_type,f1_mean,f1_std,recall_mean,recall_std,precision_mean,accuracy_mean,roc_auc_mean,balanced_accuracy_mean,cohen_kappa_mean,quadratic_weighted_kappa_mean,brier_score_mean,best_params,calibration
1,SVM RBF,optimized_model,0.8274933602175094,0.006073533867515152,0.8729139776688278,0.010793255035982817,0.7866347514619051,0.839893561685275,0.0,0.8434337063426274,0.6788761963199542,0.6788761963199542,1.0,"{""C"": 1.5559711774999547, ""gamma"": 0.0275635250978572}",{}
2,Stacking Ensemble,ensemble,0.8263381497833258,0.006045936571068381,0.8473188472219814,0.009621940488176533,0.8064414291722788,0.8433206625619697,0.9192496077813512,0.8437507823834519,0.6837774221751732,0.6837774221751732,0.11375097923935062,{},{}
3,Stacking Ensemble Calibrated Isotonic,calibrated_model,0.8237460540799969,0.007377232328463225,0.8557766486395426,0.013275850103623445,0.794134048791557,0.8389139379923227,0.9163133132453248,0.8407228323314445,0.6758065538742927,0.6758065538742927,0.11516616181350366,{},"{""base_model"": ""Stacking Ensemble"", ""method"": ""isotonic""}"
4,LightGBM,optimized_model,0.8228298980984363,0.005528444084081897,0.8450921712073054,0.008193190318844811,0.8017466360384077,0.8398934178626714,0.9181337055446477,0.8404513649262547,0.6769743177054861,0.6769743177054861,0.11559133677920799,"{""colsample_bytree"": 0.8751018359597045, ""learning_rate"": 0.0604356802554195, ""max_depth"": 10, ""min_child_samples"": 55, ""n_estimators"": 280, ""num_leaves"": 52, ""reg_alpha"": 0.0151710934948344, ""reg_lambda"": 2.834366099052528, ""subsample"": 0.6509337864470486}",{}
5,SVM RBF Calibrated Isotonic,calibrated_model,0.8227863760856474,0.007559802357397544,0.865569761997369,0.012565180752076388,0.7841356955766783,0.8359762654351617,0.908414321567205,0.8391495574421011,0.6708190178679023,0.6708190178679023,0.11948857407028739,"{""C"": 1.5559711774999547, ""gamma"": 0.0275635250978572}","{""base_model"": ""SVM RBF"", ""method"": ""isotonic""}"
6,Stacking Ensemble Calibrated Sigmoid,calibrated_model,0.822462064441314,0.007422689618490209,0.8404205613264925,0.011221652103293537,0.8053402792806359,0.8403828941230728,0.9167313256560445,0.8403883637350301,0.6776023500455443,0.6776023500455443,0.11534206632681061,{},"{""base_model"": ""Stacking Ensemble"", ""method"": ""sigmoid""}"
7,SVM RBF Calibrated Sigmoid,calibrated_model,0.8223081512725774,0.007175921861741079,0.8626756777513247,0.010496485467521298,0.7856164937286285,0.8359762174942938,0.9085689045828556,0.8388393378141693,0.6706199515659469,0.6706199515659469,0.11935460613135498,"{""C"": 1.5559711774999547, ""gamma"": 0.0275635250978572}","{""base_model"": ""SVM RBF"", ""method"": ""sigmoid""}"
8,HistGradientBoosting,optimized_model,0.8223065930562221,0.0075464290927462424,0.8319583006111715,0.013293849300842472,0.8129835290672871,0.8418518502538228,0.9182090096278817,0.8407911711805987,0.6798665471743213,0.6798665471743213,0.12275527566675101,"{""l2_regularization"": 6.246137137493112e-06, ""learning_rate"": 0.1180425197103201, ""max_iter"": 280, ""max_leaf_nodes"": 54, ""min_samples_leaf"": 30}",{}
9,XGBoost,optimized_model,0.8220736902993325,0.007423964845445081,0.840197348699743,0.009167403917226752,0.8047406399535134,0.8399916487008264,0.9181582977112871,0.8400146726123264,0.6768282888730581,0.6768282888730581,0.11557501796831385,"{""colsample_bytree"": 0.9837994247098992, ""learning_rate"": 0.0859050677406432, ""max_depth"": 6, ""min_child_weight"": 1.3198227603900738, ""n_estimators"": 320, ""reg_alpha"": 0.714347816975902, ""reg_lambda"": 4.785525301974987, ""subsample"": 0.8154272560631404}",{}
10,Soft Voting Ensemble,ensemble,0.8211559914600548,0.009595966514089116,0.829955580439538,0.012723806828245057,0.8125948304020939,0.8409698341677443,0.9183071266965271,0.8397898110947821,0.6780174201982174,0.6780174201982174,0.11422644331904563,{},{}
