number,value,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
0,0.7978261862552399,,log2,7,2,200,0.7977425897572751,"{'accuracy': {'mean': 0.8135513012829456, 'std': 0.006588517085592774}, 'balanced_accuracy': {'mean': 0.8159542577762131, 'std': 0.007220111744693775}, 'brier_score': {'mean': 0.1380320755463413, 'std': 0.0010747521949991995}, 'cohen_kappa': {'mean': 0.625477382968161, 'std': 0.013587782051493594}, 'f1': {'mean': 0.7977425897572751, 'std': 0.008110033033198273}, 'mean_absolute_stage_error': {'mean': 0.18644869871705444, 'std': 0.006588517085592785}, 'precision': {'mean': 0.7629712808137956, 'std': 0.006232147025196225}, 'quadratic_weighted_kappa': {'mean': 0.625477382968161, 'std': 0.013587782051493594}, 'recall': {'mean': 0.8359649796482606, 'std': 0.014588539307299609}, 'roc_auc': {'mean': 0.8943919877055235, 'std': 0.0030936010873456473}}",0.8359649796482606,COMPLETE
1,0.8005159604502811,,log2,4,7,320,0.8004330981756924,"{'accuracy': {'mean': 0.8182519513131723, 'std': 0.005983903442340274}, 'balanced_accuracy': {'mean': 0.8193645546698687, 'std': 0.006580684308111107}, 'brier_score': {'mean': 0.1350689040804185, 'std': 0.0012646598166359579}, 'cohen_kappa': {'mean': 0.633936208420468, 'std': 0.01239008187656581}, 'f1': {'mean': 0.8004330981756924, 'std': 0.0074763808725498895}, 'mean_absolute_stage_error': {'mean': 0.18174804868682773, 'std': 0.005983903442340247}, 'precision': {'mean': 0.774179809263596, 'std': 0.00531160191524808}, 'quadratic_weighted_kappa': {'mean': 0.633936208420468, 'std': 0.01239008187656581}, 'recall': {'mean': 0.8286227458869171, 'std': 0.012947496350857119}, 'roc_auc': {'mean': 0.8981362999661568, 'std': 0.003381487059058319}}",0.8286227458869171,COMPLETE
2,0.7925077472663139,10.0,sqrt,1,8,160,0.7924244847945251,"{'accuracy': {'mean': 0.8081654803698924, 'std': 0.00657473028263596}, 'balanced_accuracy': {'mean': 0.8107870880641395, 'std': 0.007586425033344876}, 'brier_score': {'mean': 0.14039400412997266, 'std': 0.0018453713791198375}, 'cohen_kappa': {'mean': 0.6148749878139157, 'std': 0.013860758910684685}, 'f1': {'mean': 0.7924244847945251, 'std': 0.0087461402579328}, 'mean_absolute_stage_error': {'mean': 0.19183451963010745, 'std': 0.006574730282635957}, 'precision': {'mean': 0.7560407659696604, 'std': 0.0037614467521369533}, 'quadratic_weighted_kappa': {'mean': 0.6148749878139157, 'std': 0.013860758910684685}, 'recall': {'mean': 0.8326247178874819, 'std': 0.016652572841461336}, 'roc_auc': {'mean': 0.8915407960886395, 'std': 0.0046530554950375315}}",0.8326247178874819,COMPLETE
3,0.8001213584749515,,,1,6,320,0.8000400987728821,"{'accuracy': {'mean': 0.8212875670632813, 'std': 0.005892425597153887}, 'balanced_accuracy': {'mean': 0.8203565651528958, 'std': 0.005845498018036889}, 'brier_score': {'mean': 0.13355245749252442, 'std': 0.0020527762994671213}, 'cohen_kappa': {'mean': 0.6385678809598684, 'std': 0.011775753685362106}, 'f1': {'mean': 0.8000400987728821, 'std': 0.0064080359201423584}, 'mean_absolute_stage_error': {'mean': 0.17871243293671854, 'std': 0.00589242559715389}, 'precision': {'mean': 0.7879764681454944, 'std': 0.00891976610722286}, 'quadratic_weighted_kappa': {'mean': 0.6385678809598684, 'std': 0.011775753685362106}, 'recall': {'mean': 0.8125970206936189, 'std': 0.00971886625823779}, 'roc_auc': {'mean': 0.8947923071173041, 'std': 0.004104892671755854}}",0.8125970206936189,COMPLETE
4,0.8004634836204804,,sqrt,7,12,160,0.8003800202325536,"{'accuracy': {'mean': 0.8168814657249163, 'std': 0.004627953800116006}, 'balanced_accuracy': {'mean': 0.8187858993701715, 'std': 0.0054601559664068985}, 'brier_score': {'mean': 0.13628024499548902, 'std': 0.0011895073794825196}, 'cohen_kappa': {'mean': 0.6317669692116415, 'std': 0.009837411667181535}, 'f1': {'mean': 0.8003800202325536, 'std': 0.0064030561042903045}, 'mean_absolute_stage_error': {'mean': 0.18311853427508376, 'std': 0.004627953800116005}, 'precision': {'mean': 0.7689265236508402, 'std': 0.0031979458605279503}, 'quadratic_weighted_kappa': {'mean': 0.6317669692116415, 'std': 0.009837411667181535}, 'recall': {'mean': 0.8346338792669906, 'std': 0.013332255601161951}, 'roc_auc': {'mean': 0.8958915963054599, 'std': 0.003005547659436048}}",0.8346338792669906,COMPLETE
5,0.8018637158389114,18.0,,7,4,320,0.8017802304765562,"{'accuracy': {'mean': 0.8183497986243846, 'std': 0.007071112214245254}, 'balanced_accuracy': {'mean': 0.8201188594478817, 'std': 0.006566431497558255}, 'brier_score': {'mean': 0.13440961615321206, 'std': 0.0019354540701441772}, 'cohen_kappa': {'mean': 0.6346376431428407, 'std': 0.013756716121590264}, 'f1': {'mean': 0.8017802304765562, 'std': 0.0066819642503519305}, 'mean_absolute_stage_error': {'mean': 0.18165020137561524, 'std': 0.007071112214245253}, 'precision': {'mean': 0.7713453310152636, 'std': 0.011208005952853187}, 'quadratic_weighted_kappa': {'mean': 0.6346376431428407, 'std': 0.013756716121590264}, 'recall': {'mean': 0.834853623551038, 'std': 0.007609521078996997}, 'roc_auc': {'mean': 0.8945543682898418, 'std': 0.0038453484365803025}}",0.834853623551038,COMPLETE
6,0.7944924496419149,10.0,,7,2,120,0.7944079181035315,"{'accuracy': {'mean': 0.8074809327183476, 'std': 0.0043929226955751275}, 'balanced_accuracy': {'mean': 0.8115360270552049, 'std': 0.003753892132952856}, 'brier_score': {'mean': 0.13903743689203543, 'std': 0.0020828461190663347}, 'cohen_kappa': {'mean': 0.6146383274359739, 'std': 0.008215567596560976}, 'f1': {'mean': 0.7944079181035315, 'std': 0.0035192353555896045}, 'mean_absolute_stage_error': {'mean': 0.1925190672816521, 'std': 0.004392922695575133}, 'precision': {'mean': 0.7494027003377172, 'std': 0.008397466259786827}, 'quadratic_weighted_kappa': {'mean': 0.6146383274359739, 'std': 0.008215567596560976}, 'recall': {'mean': 0.8453153838340548, 'std': 0.007567745357606009}, 'roc_auc': {'mean': 0.8887011646180945, 'std': 0.004120849321089898}}",0.8453153838340548,COMPLETE
7,0.788718297674838,10.0,log2,3,2,120,0.7886348568806867,"{'accuracy': {'mean': 0.8032697110076548, 'std': 0.004479202536914931}, 'balanced_accuracy': {'mean': 0.8066079285663859, 'std': 0.00519337293313003}, 'brier_score': {'mean': 0.1437079619767172, 'std': 0.0017831528572306115}, 'cohen_kappa': {'mean': 0.6056751743354662, 'std': 0.00941428764442937}, 'f1': {'mean': 0.7886348568806867, 'std': 0.0060860547490665514}, 'mean_absolute_stage_error': {'mean': 0.19673028899234526, 'std': 0.004479202536914939}, 'precision': {'mean': 0.7477641718801675, 'std': 0.00506104760585318}, 'quadratic_weighted_kappa': {'mean': 0.6056751743354662, 'std': 0.00941428764442937}, 'recall': {'mean': 0.8344079415138325, 'std': 0.014213907199989367}, 'roc_auc': {'mean': 0.8882335946204734, 'std': 0.004209395513371026}}",0.8344079415138325,COMPLETE
8,0.8019669991248582,14.0,sqrt,4,10,320,0.8018834692438471,"{'accuracy': {'mean': 0.8184476459355972, 'std': 0.007068385233514005}, 'balanced_accuracy': {'mean': 0.8202538871873986, 'std': 0.007603935296227666}, 'brier_score': {'mean': 0.13477092949785946, 'std': 0.0012949050382535313}, 'cohen_kappa': {'mean': 0.6348313514276964, 'std': 0.014484600145875496}, 'f1': {'mean': 0.8018834692438471, 'std': 0.00844080081123013}, 'mean_absolute_stage_error': {'mean': 0.1815523540644028, 'std': 0.007068385233514014}, 'precision': {'mean': 0.7711261676298339, 'std': 0.00671384768714275}, 'quadratic_weighted_kappa': {'mean': 0.6348313514276964, 'std': 0.014484600145875496}, 'recall': {'mean': 0.8352988101107144, 'std': 0.013846257743195128}, 'roc_auc': {'mean': 0.8982186220792814, 'std': 0.0033829757235327032}}",0.8352988101107144,COMPLETE
9,0.8016376312561995,18.0,sqrt,4,4,120,0.8015547692293495,"{'accuracy': {'mean': 0.8195249251762906, 'std': 0.00803636131604498}, 'balanced_accuracy': {'mean': 0.8204996031359558, 'std': 0.00856375358535242}, 'brier_score': {'mean': 0.1342710391445659, 'std': 0.0017381472685449656}, 'cohen_kappa': {'mean': 0.6363859488252798, 'std': 0.01646732669329838}, 'f1': {'mean': 0.8015547692293495, 'std': 0.009540205350229808}, 'mean_absolute_stage_error': {'mean': 0.18047507482370945, 'std': 0.008036361316044956}, 'precision': {'mean': 0.7762348931453563, 'std': 0.0067748680750906835}, 'quadratic_weighted_kappa': {'mean': 0.6363859488252798, 'std': 0.01646732669329838}, 'recall': {'mean': 0.8286202684992728, 'std': 0.013318954816027883}, 'roc_auc': {'mean': 0.8977477291653064, 'std': 0.003866876291520855}}",0.8286202684992728,COMPLETE
