number,value,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
0,0.8002236209510818,5,120,7.585243326167403,0.10550756919226546,0.8001419831005624,"{'accuracy': {'mean': 0.8206017250083057, 'std': 0.007827762738700856}, 'balanced_accuracy': {'mean': 0.8201492523521969, 'std': 0.008229508038146602}, 'brier_score': {'mean': 0.12767905772836607, 'std': 0.0014496863412926699}, 'cohen_kappa': {'mean': 0.6375212116618707, 'std': 0.015999116853597836}, 'f1': {'mean': 0.8001419831005624, 'std': 0.009252189198769429}, 'mean_absolute_stage_error': {'mean': 0.17939827499169425, 'std': 0.007827762738700879}, 'precision': {'mean': 0.7846104189780417, 'std': 0.008158494056190593}, 'quadratic_weighted_kappa': {'mean': 0.6375212116618707, 'std': 0.015999116853597836}, 'recall': {'mean': 0.8163785051938433, 'std': 0.013085481826106268}, 'roc_auc': {'mean': 0.9006818086393082, 'std': 0.0026096205884863968}}",0.8163785051938433,COMPLETE
1,0.7154022211347774,3,80,10.527937603524286,0.012055838049211991,0.7153294858263054,"{'accuracy': {'mean': 0.7453006204027703, 'std': 0.004594832382658023}, 'balanced_accuracy': {'mean': 0.7433760204842875, 'std': 0.004259087200838265}, 'brier_score': {'mean': 0.19372575264486383, 'std': 0.0005779249169731308}, 'cohen_kappa': {'mean': 0.48501292355750947, 'std': 0.008803651122298235}, 'f1': {'mean': 0.7153294858263054, 'std': 0.004526969991294336}, 'mean_absolute_stage_error': {'mean': 0.25469937959722955, 'std': 0.0045948323826580225}, 'precision': {'mean': 0.7038309553338404, 'std': 0.00766743806991288}, 'quadratic_weighted_kappa': {'mean': 0.48501292355750947, 'std': 0.008803651122298235}, 'recall': {'mean': 0.7273530847192252, 'std': 0.009084151738673085}, 'roc_auc': {'mean': 0.823337955219689, 'std': 0.00394725657412545}}",0.7273530847192252,COMPLETE
2,0.7579436499704274,5,200,11.669008373781937,0.010685033500506827,0.757866151958531,"{'accuracy': {'mean': 0.7822164789062579, 'std': 0.004713502165316218}, 'balanced_accuracy': {'mean': 0.7814400071721825, 'std': 0.005817146205977499}, 'brier_score': {'mean': 0.15797956183928252, 'std': 0.0015049456022026956}, 'cohen_kappa': {'mean': 0.56016047771227, 'std': 0.010368227734275929}, 'f1': {'mean': 0.757866151958531, 'std': 0.00750448815427322}, 'mean_absolute_stage_error': {'mean': 0.21778352109374213, 'std': 0.004713502165316205}, 'precision': {'mean': 0.7416737931498535, 'std': 0.003459799762878774}, 'quadratic_weighted_kappa': {'mean': 0.56016047771227, 'std': 0.010368227734275929}, 'recall': {'mean': 0.7749801189641548, 'std': 0.0163236335949548}, 'roc_auc': {'mean': 0.8644549426825762, 'std': 0.004764971751631215}}",0.7749801189641548,COMPLETE
3,0.7577169321412199,3,240,3.017449608387772,0.017954792739743507,0.7576395010435638,"{'accuracy': {'mean': 0.782118727476781, 'std': 0.0037479475640659794}, 'balanced_accuracy': {'mean': 0.7812802611456482, 'std': 0.004782721910139555}, 'brier_score': {'mean': 0.15523718215866664, 'std': 0.0017065139797187957}, 'cohen_kappa': {'mean': 0.5599149866054546, 'std': 0.00837401001747723}, 'f1': {'mean': 0.7576395010435638, 'std': 0.006352117524718339}, 'mean_absolute_stage_error': {'mean': 0.21788127252321896, 'std': 0.00374794756406601}, 'precision': {'mean': 0.7418363206848161, 'std': 0.003307981626796688}, 'quadratic_weighted_kappa': {'mean': 0.5599149866054546, 'std': 0.00837401001747723}, 'recall': {'mean': 0.7743109765614357, 'std': 0.014753366022640269}, 'roc_auc': {'mean': 0.8635697809721299, 'std': 0.0048238321377589355}}",0.7743109765614357,COMPLETE
4,0.772756526497889,4,120,4.203520542178461,0.04016365455719544,0.7726777820874948,"{'accuracy': {'mean': 0.7962194790457657, 'std': 0.003477585555794843}, 'balanced_accuracy': {'mean': 0.7952781948653636, 'std': 0.0046047474689417}, 'brier_score': {'mean': 0.1460336691430431, 'std': 0.0017043288645729646}, 'cohen_kappa': {'mean': 0.5881412685619407, 'std': 0.007872744757829436}, 'f1': {'mean': 0.7726777820874948, 'std': 0.006079017771984386}, 'mean_absolute_stage_error': {'mean': 0.2037805209542342, 'std': 0.003477585555794844}, 'precision': {'mean': 0.7586220474320624, 'std': 0.002828156312562854}, 'quadratic_weighted_kappa': {'mean': 0.5881412685619407, 'std': 0.007872744757829436}, 'recall': {'mean': 0.7874441039412761, 'std': 0.014684353729763386}, 'roc_auc': {'mean': 0.8771840496945703, 'std': 0.004170156519588198}}",0.7874441039412761,COMPLETE
5,0.7638401195216151,3,200,5.029980276230608,0.025609476007275242,0.7637621319779202,"{'accuracy': {'mean': 0.7877978026782646, 'std': 0.003933667583140127}, 'balanced_accuracy': {'mean': 0.786947718535804, 'std': 0.004856131923870885}, 'brier_score': {'mean': 0.15170711610465043, 'std': 0.0017582675363648763}, 'cohen_kappa': {'mean': 0.5713059239579044, 'std': 0.008672674085829293}, 'f1': {'mean': 0.7637621319779202, 'std': 0.006236604506668256}, 'mean_absolute_stage_error': {'mean': 0.21220219732173548, 'std': 0.003933667583140138}, 'precision': {'mean': 0.7483991664032875, 'std': 0.001684393160497448}, 'quadratic_weighted_kappa': {'mean': 0.5713059239579044, 'std': 0.008672674085829293}, 'recall': {'mean': 0.7798754369492459, 'std': 0.01284629315077421}, 'roc_auc': {'mean': 0.8685876588194781, 'std': 0.004587648653409106}}",0.7798754369492459,COMPLETE
6,0.768335596190335,5,160,6.6565788225497275,0.01901656047035859,0.7682570966944834,"{'accuracy': {'mean': 0.7917150030466422, 'std': 0.004180363266270555}, 'balanced_accuracy': {'mean': 0.7909939521639936, 'std': 0.005307312156993317}, 'brier_score': {'mean': 0.14999262870477062, 'std': 0.0014813914509219331}, 'cohen_kappa': {'mean': 0.5792744724999594, 'std': 0.009322276109830836}, 'f1': {'mean': 0.7682570966944834, 'std': 0.006861365865598994}, 'mean_absolute_stage_error': {'mean': 0.20828499695335784, 'std': 0.004180363266270541}, 'precision': {'mean': 0.7523531113103072, 'std': 0.0010197288835966727}, 'quadratic_weighted_kappa': {'mean': 0.5792744724999594, 'std': 0.009322276109830836}, 'recall': {'mean': 0.7849949585161439, 'std': 0.014773745192535475}, 'roc_auc': {'mean': 0.8732429431141154, 'std': 0.0040689272321137275}}",0.7849949585161439,COMPLETE
7,0.7865767621699069,3,160,2.875765360560207,0.07068239480981442,0.7864965932616174,"{'accuracy': {'mean': 0.8085578284320987, 'std': 0.007820148427770355}, 'balanced_accuracy': {'mean': 0.8078209530503297, 'std': 0.00847297855436229}, 'brier_score': {'mean': 0.13740300416718648, 'std': 0.0022537588934239674}, 'cohen_kappa': {'mean': 0.6130951844015989, 'std': 0.016194650892627623}, 'f1': {'mean': 0.7864965932616174, 'std': 0.009741985833339573}, 'mean_absolute_stage_error': {'mean': 0.19144217156790128, 'std': 0.007820148427770377}, 'precision': {'mean': 0.7719328481317402, 'std': 0.006448148218731602}, 'quadratic_weighted_kappa': {'mean': 0.6130951844015989, 'std': 0.016194650892627623}, 'recall': {'mean': 0.8016890828958679, 'std': 0.014545169958959492}, 'roc_auc': {'mean': 0.8877858332568088, 'std': 0.004240762972961975}}",0.8016890828958679,COMPLETE
8,0.8058576007975639,5,80,9.892370829281072,0.22381833088786565,0.8057754062780408,"{'accuracy': {'mean': 0.8256946751598708, 'std': 0.004646449750492556}, 'balanced_accuracy': {'mean': 0.8252935784716806, 'std': 0.005120413488254403}, 'brier_score': {'mean': 0.1244641666806395, 'std': 0.0025204783422016243}, 'cohen_kappa': {'mean': 0.6477967671927984, 'std': 0.009639421293980847}, 'f1': {'mean': 0.8057754062780408, 'std': 0.0059278863536089904}, 'mean_absolute_stage_error': {'mean': 0.17430532484012917, 'std': 0.0046464497504925635}, 'precision': {'mean': 0.7903220389750144, 'std': 0.005300247034606541}, 'quadratic_weighted_kappa': {'mean': 0.6477967671927984, 'std': 0.009639421293980847}, 'recall': {'mean': 0.8219451952305332, 'std': 0.011236341037551384}, 'roc_auc': {'mean': 0.904416968292735, 'std': 0.004067417923408399}}",0.8219451952305332,COMPLETE
9,0.7841736949724839,3,120,5.841677431135614,0.09047252745704347,0.7840936821891636,"{'accuracy': {'mean': 0.8062071918013446, 'std': 0.009782492859398988}, 'balanced_accuracy': {'mean': 0.805554467170513, 'std': 0.01052436579647642}, 'brier_score': {'mean': 0.13854465500617746, 'std': 0.002309151835567494}, 'cohen_kappa': {'mean': 0.6084301892793629, 'std': 0.02022154410625914}, 'f1': {'mean': 0.7840936821891636, 'std': 0.012062124157223039}, 'mean_absolute_stage_error': {'mean': 0.19379280819865546, 'std': 0.009782492859398978}, 'precision': {'mean': 0.7687403292535241, 'std': 0.007944889867794788}, 'quadratic_weighted_kappa': {'mean': 0.6084301892793629, 'std': 0.02022154410625914}, 'recall': {'mean': 0.8001278332024448, 'std': 0.016848034512223973}, 'roc_auc': {'mean': 0.8858118190778761, 'std': 0.004365652427579103}}",0.8001278332024448,COMPLETE
