number,value,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
0,0.7874573085498382,,log2,7,2,200,0.7873710412545757,"{'accuracy': {'mean': 0.7950447360208026, 'std': 0.0017209532623862214}, 'balanced_accuracy': {'mean': 0.8022933191196945, 'std': 0.0027131302783998078}, 'brier_score': {'mean': 0.15135596274945634, 'std': 0.0010996183433721063}, 'cohen_kappa': {'mean': 0.5924385604775118, 'std': 0.004149440574076718}, 'f1': {'mean': 0.7873710412545757, 'std': 0.0035872606940457394}, 'mean_absolute_stage_error': {'mean': 0.20495526397919747, 'std': 0.0017209532623862324}, 'precision': {'mean': 0.724263216372963, 'std': 0.0029151709094446918}, 'quadratic_weighted_kappa': {'mean': 0.5924385604775118, 'std': 0.004149440574076718}, 'recall': {'mean': 0.8626729526249161, 'std': 0.01216490263614013}, 'roc_auc': {'mean': 0.8847939633076273, 'std': 0.0033645996270711266}}",0.8626729526249161,COMPLETE
1,0.796638560302102,,log2,4,7,360,0.7965535392814679,"{'accuracy': {'mean': 0.8089498888490979, 'std': 0.0037770217652918635}, 'balanced_accuracy': {'mean': 0.8133728502968232, 'std': 0.004378199974438789}, 'brier_score': {'mean': 0.14342332721294332, 'std': 0.001279762329364825}, 'cohen_kappa': {'mean': 0.6178195793312569, 'std': 0.00794876819856894}, 'f1': {'mean': 0.7965535392814679, 'std': 0.004996571859275788}, 'mean_absolute_stage_error': {'mean': 0.19105011115090204, 'std': 0.0037770217652918743}, 'precision': {'mean': 0.7493135669923523, 'std': 0.002583152913714632}, 'quadratic_weighted_kappa': {'mean': 0.6178195793312569, 'std': 0.00794876819856894}, 'recall': {'mean': 0.8502102063416169, 'std': 0.010130426751453009}, 'roc_auc': {'mean': 0.8922295098575377, 'std': 0.003516486148433733}}",0.8502102063416169,COMPLETE
2,0.7666756008268041,10.0,sqrt,1,8,200,0.7665905132139901,"{'accuracy': {'mean': 0.7720334550551968, 'std': 0.00436773172793656}, 'balanced_accuracy': {'mean': 0.7804836746276209, 'std': 0.004122701616016845}, 'brier_score': {'mean': 0.16183439822182338, 'std': 0.0014321057712309662}, 'cohen_kappa': {'mean': 0.5480560616877744, 'std': 0.008348720192530244}, 'f1': {'mean': 0.7665905132139901, 'std': 0.004157077228410726}, 'mean_absolute_stage_error': {'mean': 0.22796654494480326, 'std': 0.004367731727936567}, 'precision': {'mean': 0.6975740235818023, 'std': 0.006048561713050637}, 'quadratic_weighted_kappa': {'mean': 0.5480560616877744, 'std': 0.008348720192530244}, 'recall': {'mean': 0.8508761281403985, 'std': 0.008812739303724866}, 'roc_auc': {'mean': 0.8710210582734963, 'std': 0.004140693502025473}}",0.8508761281403985,COMPLETE
3,0.8049901547727624,,,1,6,360,0.8049101635179408,"{'accuracy': {'mean': 0.8294151741475992, 'std': 0.007073860569615454}, 'balanced_accuracy': {'mean': 0.8262536971574701, 'std': 0.007276334371045777}, 'brier_score': {'mean': 0.12674576378167565, 'std': 0.0011904541402437997}, 'cohen_kappa': {'mean': 0.653376496838496, 'std': 0.014402008603328657}, 'f1': {'mean': 0.8049101635179408, 'std': 0.008280877957389155}, 'mean_absolute_stage_error': {'mean': 0.1705848258524006, 'std': 0.007073860569615451}, 'precision': {'mean': 0.8100863461862456, 'std': 0.009456465507558586}, 'quadratic_weighted_kappa': {'mean': 0.653376496838496, 'std': 0.014402008603328657}, 'recall': {'mean': 0.799912548216157, 'std': 0.011796566889162323}, 'roc_auc': {'mean': 0.9073232499905475, 'std': 0.0024519160425951337}}",0.799912548216157,COMPLETE
4,0.7932948843660629,,sqrt,7,12,160,0.7932089063058079,"{'accuracy': {'mean': 0.8027802826881212, 'std': 0.0038365437982337738}, 'balanced_accuracy': {'mean': 0.8088907846063034, 'std': 0.004076327308652977}, 'brier_score': {'mean': 0.14561948301958488, 'std': 0.001165681587590005}, 'cohen_kappa': {'mean': 0.6068618704204549, 'std': 0.0077549925651241615}, 'f1': {'mean': 0.7932089063058079, 'std': 0.0044533443805624085}, 'mean_absolute_stage_error': {'mean': 0.19721971731187882, 'std': 0.0038365437982337543}, 'precision': {'mean': 0.7362615766249387, 'std': 0.004540194200663807}, 'quadratic_weighted_kappa': {'mean': 0.6068618704204549, 'std': 0.0077549925651241615}, 'recall': {'mean': 0.8597806025502228, 'std': 0.009165316409334977}, 'roc_auc': {'mean': 0.8902661095536993, 'std': 0.00319562558343433}}",0.8597806025502228,COMPLETE
5,0.8065713303283667,18.0,,7,4,360,0.8064866209135504,"{'accuracy': {'mean': 0.8211896238703333, 'std': 0.005260261127686646}, 'balanced_accuracy': {'mean': 0.8239667768632304, 'std': 0.0058309837571232535}, 'brier_score': {'mean': 0.1318930536564795, 'std': 0.0008502642799657519}, 'cohen_kappa': {'mean': 0.6410105416452274, 'std': 0.01085863269059152}, 'f1': {'mean': 0.8064866209135504, 'std': 0.006577304759243542}, 'mean_absolute_stage_error': {'mean': 0.17881037612966663, 'std': 0.005260261127686642}, 'precision': {'mean': 0.7697252165191746, 'std': 0.006098817562111388}, 'quadratic_weighted_kappa': {'mean': 0.6410105416452274, 'std': 0.01085863269059152}, 'recall': {'mean': 0.8470941481626454, 'std': 0.013722250260047315}, 'roc_auc': {'mean': 0.9027710301070673, 'std': 0.002467687249850717}}",0.8470941481626454,COMPLETE
6,0.7930144479077191,10.0,,7,2,120,0.7929291153803626,"{'accuracy': {'mean': 0.8039555051217626, 'std': 0.0047577857280380245}, 'balanced_accuracy': {'mean': 0.8092465773391467, 'std': 0.005472242064580243}, 'brier_score': {'mean': 0.14214274747040007, 'std': 0.0011457756364260142}, 'cohen_kappa': {'mean': 0.6085512596854669, 'std': 0.009961152579409726}, 'f1': {'mean': 0.7929291153803626, 'std': 0.0061633690050723845}, 'mean_absolute_stage_error': {'mean': 0.19604449487823739, 'std': 0.004757785728038029}, 'precision': {'mean': 0.7405837778092907, 'std': 0.003266542652454678}, 'quadratic_weighted_kappa': {'mean': 0.6085512596854669, 'std': 0.009961152579409726}, 'recall': {'mean': 0.8533252735655307, 'std': 0.012479882573966962}, 'roc_auc': {'mean': 0.8926437271929574, 'std': 0.003058899998684248}}",0.8533252735655307,COMPLETE
7,0.7573224789747008,10.0,log2,3,2,120,0.7572365009639935,"{'accuracy': {'mean': 0.7574430354623394, 'std': 0.004239149596362401}, 'balanced_accuracy': {'mean': 0.768411014202977, 'std': 0.003888844887967392}, 'brier_score': {'mean': 0.17059761537097023, 'std': 0.0014048390699240318}, 'cohen_kappa': {'mean': 0.5216839840029834, 'std': 0.007951727021124684}, 'f1': {'mean': 0.7572365009639935, 'std': 0.003488319202648374}, 'mean_absolute_stage_error': {'mean': 0.24255696453766068, 'std': 0.004239149596362414}, 'precision': {'mean': 0.676575803703673, 'std': 0.0050739637329967145}, 'quadratic_weighted_kappa': {'mean': 0.5216839840029834, 'std': 0.007951727021124684}, 'recall': {'mean': 0.8597801070726939, 'std': 0.004824176216787393}, 'roc_auc': {'mean': 0.86180690965029, 'std': 0.003854408528109796}}",0.8597801070726939,COMPLETE
8,0.7934614124971331,14.0,sqrt,4,10,360,0.7933759019447004,"{'accuracy': {'mean': 0.8040538318416532, 'std': 0.0033683222735845352}, 'balanced_accuracy': {'mean': 0.8095255793723917, 'std': 0.003599103944185377}, 'brier_score': {'mean': 0.14721928968921158, 'std': 0.0012862107129698742}, 'cohen_kappa': {'mean': 0.6088959093768447, 'std': 0.006812852165645037}, 'f1': {'mean': 0.7933759019447004, 'std': 0.004024804326449425}, 'mean_absolute_stage_error': {'mean': 0.19594616815834676, 'std': 0.0033683222735845487}, 'precision': {'mean': 0.7400331213554419, 'std': 0.004702215151666163}, 'quadratic_weighted_kappa': {'mean': 0.6088959093768447, 'std': 0.006812852165645037}, 'recall': {'mean': 0.8551055243267079, 'std': 0.00964242572268297}, 'roc_auc': {'mean': 0.8891755384866766, 'std': 0.0037112538614256212}}",0.8551055243267079,COMPLETE
9,0.7967398025963836,18.0,sqrt,4,4,120,0.7966551155523777,"{'accuracy': {'mean': 0.8098308981769525, 'std': 0.003968431220340124}, 'balanced_accuracy': {'mean': 0.8138010222060095, 'std': 0.0046642381363475585}, 'brier_score': {'mean': 0.14120234476958773, 'std': 0.0012925960391135718}, 'cohen_kappa': {'mean': 0.619230441422147, 'std': 0.008389363211727327}, 'f1': {'mean': 0.7966551155523777, 'std': 0.005410364186269702}, 'mean_absolute_stage_error': {'mean': 0.19016910182304742, 'std': 0.003968431220340125}, 'precision': {'mean': 0.7521480271003128, 'std': 0.003568631500823771}, 'quadratic_weighted_kappa': {'mean': 0.619230441422147, 'std': 0.008389363211727327}, 'recall': {'mean': 0.8468704400583673, 'std': 0.012148036732292922}, 'roc_auc': {'mean': 0.893416211888785, 'std': 0.0033761100993344923}}",0.8468704400583673,COMPLETE
