number,value,params_l2_regularization,params_learning_rate,params_max_iter,params_max_leaf_nodes,params_min_samples_leaf,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
0,0.8153928282606717,2.5361081166471375e-07,0.03338755504130913,320,49,32,0.8153088533665181,"{'accuracy': {'mean': 0.8326467242244726, 'std': 0.006723404038728286}, 'balanced_accuracy': {'mean': 0.8334089677671285, 'std': 0.007123697651645691}, 'brier_score': {'mean': 0.11697533650630287, 'std': 0.0019739687979336822}, 'cohen_kappa': {'mean': 0.6625570667132148, 'std': 0.013733344067323384}, 'f1': {'mean': 0.8153088533665181, 'std': 0.007997464595772394}, 'mean_absolute_stage_error': {'mean': 0.16735327577552744, 'std': 0.006723404038728305}, 'precision': {'mean': 0.7923898005913397, 'std': 0.008281762940622188}, 'quadratic_weighted_kappa': {'mean': 0.6625570667132148, 'std': 0.013733344067323384}, 'recall': {'mean': 0.8397489415361289, 'std': 0.013829147480763896}, 'roc_auc': {'mean': 0.9158304558031898, 'std': 0.002427150668481638}}",0.8397489415361289,COMPLETE
1,0.7892071171048249,0.023585940584142682,0.01652231817012285,80,56,32,0.7891204490177893,"{'accuracy': {'mean': 0.7962190475779555, 'std': 0.008003919589358354}, 'balanced_accuracy': {'mean': 0.8037720376961304, 'std': 0.008124478964753155}, 'brier_score': {'mean': 0.15397915572813242, 'std': 0.0023350006746660165}, 'cohen_kappa': {'mean': 0.5950099282036067, 'std': 0.01588956154022493}, 'f1': {'mean': 0.7891204490177893, 'std': 0.00844810015805147}, 'mean_absolute_stage_error': {'mean': 0.20378095242204455, 'std': 0.008003919589358359}, 'precision': {'mean': 0.7244213736221845, 'std': 0.009190905289932985}, 'quadratic_weighted_kappa': {'mean': 0.5950099282036067, 'std': 0.01588956154022493}, 'recall': {'mean': 0.8666808703558271, 'std': 0.013988679280901901}, 'roc_auc': {'mean': 0.8864789174075819, 'std': 0.005806424177578807}}",0.8666808703558271,COMPLETE
2,0.8069837700630603,4.329370014459266e-07,0.010685033500506827,320,54,14,0.8068983485727135,"{'accuracy': {'mean': 0.8201114816940194, 'std': 0.009556427132696974}, 'balanced_accuracy': {'mean': 0.823767266110645, 'std': 0.009441090290519778}, 'brier_score': {'mean': 0.12772341829487346, 'std': 0.002644968883952125}, 'cohen_kappa': {'mean': 0.6395046189659749, 'std': 0.01895215394105526}, 'f1': {'mean': 0.8068983485727135, 'std': 0.00994160374351239}, 'mean_absolute_stage_error': {'mean': 0.17988851830598068, 'std': 0.009556427132696969}, 'precision': {'mean': 0.7647292661941939, 'std': 0.012932344375270688}, 'quadratic_weighted_kappa': {'mean': 0.6395046189659749, 'std': 0.01895215394105526}, 'recall': {'mean': 0.8542149034685904, 'std': 0.01417266195311987}, 'roc_auc': {'mean': 0.9042492585042738, 'std': 0.0038659346401607726}}",0.8542149034685904,COMPLETE
3,0.804723003969656,4.17890272377219e-06,0.01804631368480851,160,38,24,0.804636781093954,"{'accuracy': {'mean': 0.8158032756077344, 'std': 0.007639960713738613}, 'balanced_accuracy': {'mean': 0.820780038746675, 'std': 0.00781746284661636}, 'brier_score': {'mean': 0.13432322753447848, 'std': 0.002360616628958422}, 'cohen_kappa': {'mean': 0.6318651427027361, 'std': 0.015288207284335472}, 'f1': {'mean': 0.804636781093954, 'std': 0.008259239012960924}, 'mean_absolute_stage_error': {'mean': 0.1841967243922656, 'std': 0.00763996071373861}, 'precision': {'mean': 0.7543466571164702, 'std': 0.008719627825372275}, 'quadratic_weighted_kappa': {'mean': 0.6318651427027361, 'std': 0.015288207284335472}, 'recall': {'mean': 0.8622287570202973, 'std': 0.012589488826383081}, 'roc_auc': {'mean': 0.8981591313439538, 'std': 0.003930275206286455}}",0.8622287570202973,COMPLETE
4,0.8080351320331046,0.00012724181576752517,0.07166937892378115,80,25,21,0.8079495098991325,"{'accuracy': {'mean': 0.8208953628236788, 'std': 0.0071043109402958975}, 'balanced_accuracy': {'mean': 0.8246836069849633, 'std': 0.006786996457325863}, 'brier_score': {'mean': 0.12634513102908765, 'std': 0.0020227152638832915}, 'cohen_kappa': {'mean': 0.6411631752655572, 'std': 0.013912716994523223}, 'f1': {'mean': 0.8079495098991325, 'std': 0.0070361143148839475}, 'mean_absolute_stage_error': {'mean': 0.17910463717632125, 'std': 0.007104310940295915}, 'precision': {'mean': 0.7649844861812165, 'std': 0.010923898423395355}, 'quadratic_weighted_kappa': {'mean': 0.6411631752655572, 'std': 0.013912716994523223}, 'recall': {'mean': 0.8562213397216902, 'std': 0.01090077756413333}, 'roc_auc': {'mean': 0.9059631365234019, 'std': 0.002544566323960128}}",0.8562213397216902,COMPLETE
5,0.8146077975333085,2.6185068507773707e-08,0.125207080851629,120,37,32,0.8145239336013474,"{'accuracy': {'mean': 0.8319620806911923, 'std': 0.003709368258150653}, 'balanced_accuracy': {'mean': 0.8326793316293675, 'std': 0.003612165619945162}, 'brier_score': {'mean': 0.12035134332437862, 'std': 0.0020340168761819235}, 'cohen_kappa': {'mean': 0.6611634270931874, 'std': 0.007337684395336019}, 'f1': {'mean': 0.8145239336013474, 'std': 0.0039390809387273296}, 'mean_absolute_stage_error': {'mean': 0.16803791930880774, 'std': 0.003709368258150677}, 'precision': {'mean': 0.7918529907740389, 'std': 0.00698923500835865}, 'quadratic_weighted_kappa': {'mean': 0.6611634270931874, 'std': 0.007337684395336019}, 'recall': {'mean': 0.8386393196102574, 'std': 0.008180368303620731}, 'roc_auc': {'mean': 0.9121258233561758, 'std': 0.0026330134235779397}}",0.8386393196102574,COMPLETE
6,0.8046727470427204,4.905556676028774,0.07068239480981442,120,13,48,0.8045870582670206,"{'accuracy': {'mean': 0.8168806507301634, 'std': 0.00817849541564113}, 'balanced_accuracy': {'mean': 0.8211700499653294, 'std': 0.008345391915989726}, 'brier_score': {'mean': 0.1284506169967073, 'std': 0.0019525834414758213}, 'cohen_kappa': {'mean': 0.6335109658112306, 'std': 0.01637671666409775}, 'f1': {'mean': 0.8045870582670206, 'std': 0.008818773045206608}, 'mean_absolute_stage_error': {'mean': 0.1831193492698366, 'std': 0.008178495415641127}, 'precision': {'mean': 0.7583525603896242, 'std': 0.008644283828334143}, 'quadratic_weighted_kappa': {'mean': 0.6335109658112306, 'std': 0.01637671666409775}, 'recall': {'mean': 0.8568877569980007, 'std': 0.011540001696518863}, 'roc_auc': {'mean': 0.9041456039102534, 'std': 0.0031331178200016477}}",0.8568877569980007,COMPLETE
7,0.8106233967264151,9.148975058772307e-05,0.13492455545375232,160,15,36,0.810538931904081,"{'accuracy': {'mean': 0.8262822384358237, 'std': 0.004273330887251518}, 'balanced_accuracy': {'mean': 0.8282516487006246, 'std': 0.004465358544797862}, 'brier_score': {'mean': 0.12147839672424995, 'std': 0.0016173423937404765}, 'cohen_kappa': {'mean': 0.6506330229056647, 'std': 0.008651648254891953}, 'f1': {'mean': 0.810538931904081, 'std': 0.004941002169101327}, 'mean_absolute_stage_error': {'mean': 0.1737177615641763, 'std': 0.004273330887251527}, 'precision': {'mean': 0.7791538939672463, 'std': 0.005818796896805314}, 'quadratic_weighted_kappa': {'mean': 0.6506330229056647, 'std': 0.008651648254891953}, 'recall': {'mean': 0.8446482233414508, 'std': 0.009385361535313776}, 'roc_auc': {'mean': 0.9106920868910813, 'std': 0.002929507255076624}}",0.8446482233414508,COMPLETE
8,0.7763766361960643,2.133142332373004e-06,0.01481160532165696,200,11,46,0.776291503915951,"{'accuracy': {'mean': 0.7841754386469553, 'std': 0.003787024055172995}, 'balanced_accuracy': {'mean': 0.7913718821232691, 'std': 0.004662451442903858}, 'brier_score': {'mean': 0.15093431014104408, 'std': 0.0017731876736862317}, 'cohen_kappa': {'mean': 0.5709095348346696, 'std': 0.008189967188512271}, 'f1': {'mean': 0.776291503915951, 'std': 0.005526491127534193}, 'mean_absolute_stage_error': {'mean': 0.21582456135304467, 'std': 0.003787024055173006}, 'precision': {'mean': 0.7134987912253379, 'std': 0.002445692118916563}, 'quadratic_weighted_kappa': {'mean': 0.5709095348346696, 'std': 0.008189967188512271}, 'recall': {'mean': 0.8513228011326616, 'std': 0.013155762082615895}, 'roc_auc': {'mean': 0.8794388362567815, 'std': 0.004679769966838831}}",0.8513228011326616,COMPLETE
9,0.8168339983148588,4.609885087947832e-07,0.08436579589365062,160,38,30,0.8167500232472881,"{'accuracy': {'mean': 0.8342142467794524, 'std': 0.004107982226126547}, 'balanced_accuracy': {'mean': 0.8348088186336774, 'std': 0.003875781100317572}, 'brier_score': {'mean': 0.11823361531422512, 'std': 0.0027137552993908324}, 'cohen_kappa': {'mean': 0.6656043226089065, 'std': 0.0080226299498806}, 'f1': {'mean': 0.8167500232472881, 'std': 0.0042469373798719795}, 'mean_absolute_stage_error': {'mean': 0.16578575322054764, 'std': 0.004107982226126532}, 'precision': {'mean': 0.7951686781841415, 'std': 0.00928223997191328}, 'quadratic_weighted_kappa': {'mean': 0.6656043226089065, 'std': 0.0080226299498806}, 'recall': {'mean': 0.8397506757074801, 'std': 0.010946865461776306}, 'roc_auc': {'mean': 0.9144035180011294, 'std': 0.0035832399367974823}}",0.8397506757074801,COMPLETE
