number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
0,0.7937254349049053,0.8603902541101232,0.012055838049211991,-1,44,160,61,1.5320059381854043e-08,13.852278657784982,0.9531616510212273,0.7936387669417391,"{'accuracy': {'mean': 0.8017028116839565, 'std': 0.006513517595411769}, 'balanced_accuracy': {'mean': 0.8086678233440494, 'std': 0.006525374625373123}, 'brier_score': {'mean': 0.14874795773453214, 'std': 0.0019089131917618457}, 'cohen_kappa': {'mean': 0.6053935151091648, 'std': 0.012895835878213018}, 'f1': {'mean': 0.7936387669417391, 'std': 0.006726393236245715}, 'mean_absolute_stage_error': {'mean': 0.19829718831604343, 'std': 0.006513517595411772}, 'precision': {'mean': 0.7319874798751007, 'std': 0.00714276864551604}, 'quadratic_weighted_kappa': {'mean': 0.6053935151091648, 'std': 0.012895835878213018}, 'recall': {'mean': 0.8666796316620051, 'std': 0.008747039399193305}, 'roc_auc': {'mean': 0.8893435651193441, 'std': 0.004436745028241988}}",0.8666796316620051,COMPLETE
1,0.8138963914135902,0.8641485131528328,0.04016365455719544,10,12,320,25,4.258943089524393e-06,0.008751754379612288,0.7519301990693147,0.8138114593063985,"{'accuracy': {'mean': 0.8290235931392782, 'std': 0.00665802442496996}, 'balanced_accuracy': {'mean': 0.8311998081469214, 'std': 0.006810061582733033}, 'brier_score': {'mean': 0.11957607543220528, 'std': 0.0019752755318620946}, 'cohen_kappa': {'mean': 0.6562602426368491, 'std': 0.013406376882228711}, 'f1': {'mean': 0.8138114593063985, 'std': 0.007348846512088823}, 'mean_absolute_stage_error': {'mean': 0.1709764068607217, 'std': 0.006658024424969958}, 'precision': {'mean': 0.7811924283647516, 'std': 0.007455227772619479}, 'quadratic_weighted_kappa': {'mean': 0.6562602426368491, 'std': 0.013406376882228711}, 'recall': {'mean': 0.8493210719160859, 'std': 0.009615333857408705}, 'roc_auc': {'mean': 0.9130093068369061, 'std': 0.0029038360577293026}}",0.8493210719160859,COMPLETE
2,0.8145184371211159,0.6727680575448478,0.07068239480981442,6,58,200,53,4.905556676028774,1.9290282632663192,0.7096834432905521,0.8144335496316758,"{'accuracy': {'mean': 0.8298067551559205, 'std': 0.007618489533259716}, 'balanced_accuracy': {'mean': 0.8318510746930435, 'std': 0.007672266258545378}, 'brier_score': {'mean': 0.11929545819360288, 'std': 0.002429743133530911}, 'cohen_kappa': {'mean': 0.6577407683520663, 'std': 0.01527546778013109}, 'f1': {'mean': 0.8144335496316758, 'std': 0.008246879010752108}, 'mean_absolute_stage_error': {'mean': 0.17019324484407952, 'std': 0.007618489533259734}, 'precision': {'mean': 0.7827287470973397, 'std': 0.009106311635854389}, 'quadratic_weighted_kappa': {'mean': 0.6577407683520663, 'std': 0.01527546778013109}, 'recall': {'mean': 0.8488748944013518, 'std': 0.010005457305779671}, 'roc_auc': {'mean': 0.9135903140065473, 'std': 0.0031409887103933144}}",0.8488748944013518,COMPLETE
3,0.7789349676013143,0.7405729935600059,0.01117051225882753,-1,42,160,19,6.388511557344611e-06,0.0571342038590756,0.9682621407275738,0.7788490344065495,"{'accuracy': {'mean': 0.7853497981449761, 'std': 0.0058598348531255975}, 'balanced_accuracy': {'mean': 0.7932789356652306, 'std': 0.006534674131427989}, 'brier_score': {'mean': 0.15657091677205304, 'std': 0.0016280996209815054}, 'cohen_kappa': {'mean': 0.5738409339081236, 'std': 0.012117619551505164}, 'f1': {'mean': 0.7788490344065495, 'std': 0.007332927531639751}, 'mean_absolute_stage_error': {'mean': 0.21465020185502395, 'std': 0.005859834853125608}, 'precision': {'mean': 0.7122447345049122, 'std': 0.005078602248193905}, 'quadratic_weighted_kappa': {'mean': 0.5738409339081236, 'std': 0.012117619551505164}, 'recall': {'mean': 0.8593319476478444, 'std': 0.014752664358081643}, 'roc_auc': {'mean': 0.8795070527375648, 'std': 0.004979253357718102}}",0.8593319476478444,COMPLETE
4,0.8181503449672741,0.6809723757181718,0.06852172720693939,-1,15,240,24,2.5529693461039728e-08,0.005303784159242412,0.9726559822580909,0.8180652128110303,"{'accuracy': {'mean': 0.8334299821228504, 'std': 0.006654640001732452}, 'balanced_accuracy': {'mean': 0.8353472889374235, 'std': 0.007097247269469872}, 'brier_score': {'mean': 0.1190734180594342, 'std': 0.0026258425354491422}, 'cohen_kappa': {'mean': 0.664896430971017, 'std': 0.013611179557341932}, 'f1': {'mean': 0.8180652128110303, 'std': 0.007858073482578576}, 'mean_absolute_stage_error': {'mean': 0.16657001787714962, 'std': 0.006654640001732455}, 'precision': {'mean': 0.7873579372266423, 'std': 0.006152922569849489}, 'quadratic_weighted_kappa': {'mean': 0.664896430971017, 'std': 0.013611179557341932}, 'recall': {'mean': 0.8513215624388396, 'std': 0.011845507627716056}, 'roc_auc': {'mean': 0.9134053964806101, 'std': 0.003974490029053813}}",0.8513215624388396,COMPLETE
5,0.801369597129995,0.6760927252879199,0.015739959562643655,-1,60,200,28,0.08916674715636537,0.0011308312159169847,0.9307689432639139,0.8012836190201922,"{'accuracy': {'mean': 0.8123761747310396, 'std': 0.00654625670520701}, 'balanced_accuracy': {'mean': 0.8174583836289546, 'std': 0.006566323293454004}, 'brier_score': {'mean': 0.13555802334954473, 'std': 0.0023524045272545853}, 'cohen_kappa': {'mean': 0.6251342672684983, 'std': 0.013007693050922977}, 'f1': {'mean': 0.8012836190201922, 'std': 0.006850879899384577}, 'mean_absolute_stage_error': {'mean': 0.18762382526896026, 'std': 0.006546256705207006}, 'precision': {'mean': 0.7502853682222241, 'std': 0.007543616505286657}, 'quadratic_weighted_kappa': {'mean': 0.6251342672684983, 'std': 0.013007693050922977}, 'recall': {'mean': 0.8597810980277517, 'std': 0.009103647514401044}, 'roc_auc': {'mean': 0.8977572456246609, 'std': 0.00435297411470572}}",0.8597810980277517,COMPLETE
6,0.7921491453336504,0.9520861990564577,0.031703965276556625,6,39,80,54,9.507847858536042e-06,0.00021723246052177621,0.6905541708337954,0.7920636346573484,"{'accuracy': {'mean': 0.8024860695823344, 'std': 0.007726715597878426}, 'balanced_accuracy': {'mean': 0.8081260677916127, 'std': 0.00791647002768205}, 'brier_score': {'mean': 0.14098570357111295, 'std': 0.0026766343201781876}, 'cohen_kappa': {'mean': 0.6059153326093004, 'std': 0.015440535376790021}, 'f1': {'mean': 0.7920636346573484, 'std': 0.008353227650896307}, 'mean_absolute_stage_error': {'mean': 0.19751393041766563, 'std': 0.007726715597878399}, 'precision': {'mean': 0.7377908929067847, 'std': 0.008845601162653796}, 'quadratic_weighted_kappa': {'mean': 0.6059153326093004, 'std': 0.015440535376790021}, 'recall': {'mean': 0.8551067630205301, 'std': 0.013648575398926327}, 'roc_auc': {'mean': 0.8923043868911696, 'std': 0.0056542763558057145}}",0.8551067630205301,COMPLETE
7,0.7907373983513654,0.9162747670159141,0.014695541082319885,6,36,160,30,0.08683696167603723,0.04145961530543038,0.8996356755280482,0.7906513091059528,"{'accuracy': {'mean': 0.7994505497139608, 'std': 0.00483751098121197}, 'balanced_accuracy': {'mean': 0.8060360134790454, 'std': 0.005179226429329976}, 'brier_score': {'mean': 0.1446433225399168, 'std': 0.0021238460742101176}, 'cohen_kappa': {'mean': 0.6006330453187528, 'std': 0.00980036489044005}, 'f1': {'mean': 0.7906513091059528, 'std': 0.005700474845316462}, 'mean_absolute_stage_error': {'mean': 0.20054945028603915, 'std': 0.004837510981211959}, 'precision': {'mean': 0.7311097807868986, 'std': 0.005818689007063732}, 'quadratic_weighted_kappa': {'mean': 0.6006330453187528, 'std': 0.00980036489044005}, 'recall': {'mean': 0.8608924541249742, 'std': 0.012315874508993978}, 'roc_auc': {'mean': 0.8890352035948574, 'std': 0.004969421995280525}}",0.8608924541249742,COMPLETE
8,0.8131401078958573,0.9676482658741326,0.027507479812842617,10,18,240,35,4.9368087974032924e-05,1.012043660269346,0.8279997419076459,0.8130545302557672,"{'accuracy': {'mean': 0.8268691305396272, 'std': 0.008009944408455386}, 'balanced_accuracy': {'mean': 0.8299686659166813, 'std': 0.0082187229521735}, 'brier_score': {'mean': 0.12203651203806157, 'std': 0.00256570828723649}, 'cohen_kappa': {'mean': 0.6525848969947705, 'std': 0.016115197346414742}, 'f1': {'mean': 0.8130545302557672, 'std': 0.008815434130080471}, 'mean_absolute_stage_error': {'mean': 0.1731308694603728, 'std': 0.008009944408455394}, 'precision': {'mean': 0.7744648502826299, 'std': 0.008891558561573958}, 'quadratic_weighted_kappa': {'mean': 0.6525848969947705, 'std': 0.016115197346414742}, 'recall': {'mean': 0.8557764009007782, 'std': 0.012171670603673855}, 'roc_auc': {'mean': 0.9105064204142203, 'std': 0.0036023405284898134}}",0.8557764009007782,COMPLETE
9,0.8117717775471688,0.9312852269146901,0.07681755019459759,6,15,120,18,1.0790237065789294,0.07228853148833447,0.9550112065657013,0.8116859551907272,"{'accuracy': {'mean': 0.824812898778131, 'std': 0.006132879067850814}, 'balanced_accuracy': {'mean': 0.8283942801124425, 'std': 0.006409254484095607}, 'brier_score': {'mean': 0.12401807753932789, 'std': 0.002188557110120494}, 'cohen_kappa': {'mean': 0.6488126332299962, 'std': 0.012399408194539309}, 'f1': {'mean': 0.8116859551907272, 'std': 0.006928532579382886}, 'mean_absolute_stage_error': {'mean': 0.1751871012218689, 'std': 0.006132879067850822}, 'precision': {'mean': 0.7700054773643081, 'std': 0.006817799888915504}, 'quadratic_weighted_kappa': {'mean': 0.6488126332299962, 'std': 0.012399408194539309}, 'recall': {'mean': 0.858223564415795, 'std': 0.011168010457360347}, 'roc_auc': {'mean': 0.9088797941205122, 'std': 0.0036054677263341215}}",0.858223564415795,COMPLETE
