number,value,params_C,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
0,0.7700182266647446,0.0745934328572655,0.7699405728003915,"{'accuracy': {'mean': 0.7958271789244274, 'std': 0.007883557499830472}, 'balanced_accuracy': {'mean': 0.7937591075703311, 'std': 0.007987076938714673}, 'brier_score': {'mean': 0.14354590497468486, 'std': 0.0039814237183607125}, 'cohen_kappa': {'mean': 0.5864421721115569, 'std': 0.015948670134686822}, 'f1': {'mean': 0.7699405728003915, 'std': 0.00886604302110444}, 'mean_absolute_stage_error': {'mean': 0.20417282107557258, 'std': 0.007883557499830496}, 'precision': {'mean': 0.7634719920312556, 'std': 0.009062873062347893}, 'quadratic_weighted_kappa': {'mean': 0.5864421721115569, 'std': 0.015948670134686822}, 'recall': {'mean': 0.7765386435311694, 'std': 0.009459982181105485}, 'roc_auc': {'mean': 0.8734850329363539, 'std': 0.006228718638591541}}",0.7765386435311694,COMPLETE
1,0.7726540406722029,56.69849511478853,0.7725762086341303,"{'accuracy': {'mean': 0.7983736060593423, 'std': 0.007306969190921181}, 'balanced_accuracy': {'mean': 0.7962231733112763, 'std': 0.007136118409650825}, 'brier_score': {'mean': 0.14256954106205597, 'std': 0.00424424922820119}, 'cohen_kappa': {'mean': 0.5915103250818559, 'std': 0.014560630228332028}, 'f1': {'mean': 0.7725762086341303, 'std': 0.007683951448009776}, 'mean_absolute_stage_error': {'mean': 0.20162639394065787, 'std': 0.007306969190921173}, 'precision': {'mean': 0.7669612037166741, 'std': 0.009883134097355313}, 'quadratic_weighted_kappa': {'mean': 0.5915103250818559, 'std': 0.014560630228332028}, 'recall': {'mean': 0.7783203807249331, 'std': 0.007368746515039378}, 'roc_auc': {'mean': 0.8748620933615537, 'std': 0.0062839166186340585}}",0.7783203807249331,COMPLETE
2,0.772919342418292,4.5705630998014515,0.7728414659854329,"{'accuracy': {'mean': 0.7985691568591637, 'std': 0.007375335717937379}, 'balanced_accuracy': {'mean': 0.7964452237206581, 'std': 0.007278979459525555}, 'brier_score': {'mean': 0.14241135560574847, 'std': 0.0042841576641539205}, 'cohen_kappa': {'mean': 0.5919236946511257, 'std': 0.014758215761809197}, 'f1': {'mean': 0.7728414659854329, 'std': 0.007918474074286686}, 'mean_absolute_stage_error': {'mean': 0.20143084314083634, 'std': 0.007375335717937376}, 'precision': {'mean': 0.7670514826690932, 'std': 0.009653353609631814}, 'quadratic_weighted_kappa': {'mean': 0.5919236946511257, 'std': 0.014758215761809197}, 'recall': {'mean': 0.7787643285907876, 'std': 0.008076664894673355}, 'roc_auc': {'mean': 0.8750947553550577, 'std': 0.006400484426649121}}",0.7787643285907876,COMPLETE
3,0.7718573177624394,0.9846738873614566,0.7717795748607743,"{'accuracy': {'mean': 0.7976877640043665, 'std': 0.0076194301134579175}, 'balanced_accuracy': {'mean': 0.7955152535118332, 'std': 0.007449810096669917}, 'brier_score': {'mean': 0.14253907488130774, 'std': 0.004201081255341066}, 'cohen_kappa': {'mean': 0.5901113150745105, 'std': 0.015199113581077377}, 'f1': {'mean': 0.7717795748607743, 'std': 0.008026722230975654}, 'mean_absolute_stage_error': {'mean': 0.20231223599563353, 'std': 0.0076194301134579175}, 'precision': {'mean': 0.7662437002495774, 'std': 0.010117034979084928}, 'quadratic_weighted_kappa': {'mean': 0.5901113150745105, 'std': 0.015199113581077377}, 'recall': {'mean': 0.7774290166505223, 'std': 0.007081252273948478}, 'roc_auc': {'mean': 0.8749631956560512, 'std': 0.006325238964571036}}",0.7774290166505223,COMPLETE
4,0.7587053689830638,0.006026889128682512,0.7586288949745763,"{'accuracy': {'mean': 0.7859359231948945, 'std': 0.010631850116850592}, 'balanced_accuracy': {'mean': 0.7836637946172293, 'std': 0.011061884330817362}, 'brier_score': {'mean': 0.14870221628616703, 'std': 0.003554128197523396}, 'cohen_kappa': {'mean': 0.5663433185085658, 'std': 0.02177492951689595}, 'f1': {'mean': 0.7586288949745763, 'std': 0.012617961761709508}, 'mean_absolute_stage_error': {'mean': 0.2140640768051055, 'std': 0.010631850116850606}, 'precision': {'mean': 0.7526378953492177, 'std': 0.010787661790188415}, 'quadratic_weighted_kappa': {'mean': 0.5663433185085658, 'std': 0.02177492951689595}, 'recall': {'mean': 0.7647400848753007, 'std': 0.014917392295571784}, 'roc_auc': {'mean': 0.8659219223616947, 'std': 0.006277750254174708}}",0.7647400848753007,COMPLETE
5,0.7587053689830638,0.0060252157362038605,0.7586288949745763,"{'accuracy': {'mean': 0.7859359231948945, 'std': 0.010631850116850592}, 'balanced_accuracy': {'mean': 0.7836637946172293, 'std': 0.011061884330817362}, 'brier_score': {'mean': 0.14870329568896662, 'std': 0.003554059896417888}, 'cohen_kappa': {'mean': 0.5663433185085658, 'std': 0.02177492951689595}, 'f1': {'mean': 0.7586288949745763, 'std': 0.012617961761709508}, 'mean_absolute_stage_error': {'mean': 0.2140640768051055, 'std': 0.010631850116850606}, 'precision': {'mean': 0.7526378953492177, 'std': 0.010787661790188415}, 'quadratic_weighted_kappa': {'mean': 0.5663433185085658, 'std': 0.02177492951689595}, 'recall': {'mean': 0.7647400848753007, 'std': 0.014917392295571784}, 'roc_auc': {'mean': 0.8659215335528776, 'std': 0.006278160404184791}}",0.7647400848753007,COMPLETE
6,0.7516013026637671,0.0019517224641449498,0.7515257634479594,"{'accuracy': {'mean': 0.7802559850577903, 'std': 0.013212398932733498}, 'balanced_accuracy': {'mean': 0.7775913062960075, 'std': 0.013523007711026828}, 'brier_score': {'mean': 0.15423086465365893, 'std': 0.0032229709139470534}, 'cohen_kappa': {'mean': 0.554567463209553, 'std': 0.02688756756410099}, 'f1': {'mean': 0.7515257634479594, 'std': 0.01524310925690623}, 'mean_absolute_stage_error': {'mean': 0.2197440149422097, 'std': 0.013212398932733484}, 'precision': {'mean': 0.7477278944023071, 'std': 0.014574888974141791}, 'quadratic_weighted_kappa': {'mean': 0.554567463209553, 'std': 0.02688756756410099}, 'recall': {'mean': 0.7553921580771508, 'std': 0.016584045714508118}, 'roc_auc': {'mean': 0.8579766553571723, 'std': 0.006392304230572482}}",0.7553921580771508,COMPLETE
7,0.7719319814977146,21.42302175774105,0.7718542830651578,"{'accuracy': {'mean': 0.7978836983311304, 'std': 0.00865932955472089}, 'balanced_accuracy': {'mean': 0.7956424053675009, 'std': 0.008473209203882026}, 'brier_score': {'mean': 0.14254460025457663, 'std': 0.0042622154897537}, 'cohen_kappa': {'mean': 0.5904520086082721, 'std': 0.017277136856993242}, 'f1': {'mean': 0.7718542830651578, 'std': 0.009131975834092677}, 'mean_absolute_stage_error': {'mean': 0.20211630166886954, 'std': 0.008659329554720893}, 'precision': {'mean': 0.76683397516144, 'std': 0.011470988864760362}, 'quadratic_weighted_kappa': {'mean': 0.5904520086082721, 'std': 0.017277136856993242}, 'recall': {'mean': 0.7769843255683747, 'std': 0.008158867955675223}, 'roc_auc': {'mean': 0.8749210068633548, 'std': 0.006350755399560548}}",0.7769843255683747,COMPLETE
8,0.7722075817081466,1.0129197956845732,0.7721297943125995,"{'accuracy': {'mean': 0.7979814977014751, 'std': 0.0076842690590283496}, 'balanced_accuracy': {'mean': 0.7958252119861562, 'std': 0.007603157460967595}, 'brier_score': {'mean': 0.1425336386130088, 'std': 0.0041933530708541545}, 'cohen_kappa': {'mean': 0.5907136071303356, 'std': 0.01539969393829523}, 'f1': {'mean': 0.7721297943125995, 'std': 0.008280614015467333}, 'mean_absolute_stage_error': {'mean': 0.2020185022985249, 'std': 0.007684269059028329}, 'precision': {'mean': 0.7664987095439735, 'std': 0.009788133753805927}, 'quadratic_weighted_kappa': {'mean': 0.5907136071303356, 'std': 0.01539969393829523}, 'recall': {'mean': 0.7778739554714346, 'std': 0.007931244334457561}, 'roc_auc': {'mean': 0.8749618310049776, 'std': 0.006310541573299823}}",0.7778739554714346,COMPLETE
9,0.7731829796449132,3.4702669886504163,0.7731050586933982,"{'accuracy': {'mean': 0.7987649473633243, 'std': 0.007771733920289697}, 'balanced_accuracy': {'mean': 0.7966678170004963, 'std': 0.007771543240550941}, 'brier_score': {'mean': 0.14245545582888483, 'std': 0.004266155025970653}, 'cohen_kappa': {'mean': 0.5923374136908472, 'std': 0.015626197153469645}, 'f1': {'mean': 0.7731050586933982, 'std': 0.008548133758626205}, 'mean_absolute_stage_error': {'mean': 0.20123505263667582, 'std': 0.007771733920289728}, 'precision': {'mean': 0.767148712734999, 'std': 0.009787495975520167}, 'quadratic_weighted_kappa': {'mean': 0.5923374136908472, 'std': 0.015626197153469645}, 'recall': {'mean': 0.7792095151504641, 'std': 0.00956798442619009}, 'roc_auc': {'mean': 0.8750379450645991, 'std': 0.006395978855152233}}",0.7792095151504641,COMPLETE
10,0.769980967252988,0.06822974740734529,0.7699032911416939,"{'accuracy': {'mean': 0.7957292357314794, 'std': 0.008078543822329082}, 'balanced_accuracy': {'mean': 0.7936955171007339, 'std': 0.00822691938749851}, 'brier_score': {'mean': 0.14361972201980738, 'std': 0.0039726576722694815}, 'cohen_kappa': {'mean': 0.5862719715510757, 'std': 0.01637762401209574}, 'f1': {'mean': 0.7699032911416939, 'std': 0.009166175452566984}, 'mean_absolute_stage_error': {'mean': 0.20427076426852064, 'std': 0.008078543822329089}, 'precision': {'mean': 0.7631802488268696, 'std': 0.009024620891908114}, 'quadratic_weighted_kappa': {'mean': 0.5862719715510757, 'std': 0.01637762401209574}, 'recall': {'mean': 0.7767611129416253, 'std': 0.00992695004876074}, 'roc_auc': {'mean': 0.8733721617591744, 'std': 0.006244419467654707}}",0.7767611129416253,COMPLETE
11,0.7729995167563678,5.396408491674145,0.7729216402987349,"{'accuracy': {'mean': 0.7986671000521117, 'std': 0.008215715081169044}, 'balanced_accuracy': {'mean': 0.7965326837009983, 'std': 0.008209402014277868}, 'brier_score': {'mean': 0.1424486762418795, 'std': 0.004292705809337593}, 'cohen_kappa': {'mean': 0.5921105977684225, 'std': 0.016519741472246583}, 'f1': {'mean': 0.7729216402987349, 'std': 0.009022746742443992}, 'mean_absolute_stage_error': {'mean': 0.20133289994788822, 'std': 0.00821571508116904}, 'precision': {'mean': 0.767214086709348, 'std': 0.01025493985084516}, 'quadratic_weighted_kappa': {'mean': 0.5921105977684225, 'std': 0.016519741472246583}, 'recall': {'mean': 0.7787645763295521, 'std': 0.009737324166856532}, 'roc_auc': {'mean': 0.8750614595504101, 'std': 0.006438964834256674}}",0.7787645763295521,COMPLETE
12,0.7729735723852867,3.0240503427727154,0.7728956736807128,"{'accuracy': {'mean': 0.7985690130365602, 'std': 0.008032495378309138}, 'balanced_accuracy': {'mean': 0.7964690167549466, 'std': 0.007906479884946065}, 'brier_score': {'mean': 0.1424678549575809, 'std': 0.004262239904244365}, 'cohen_kappa': {'mean': 0.591944709871267, 'std': 0.016054693160056633}, 'f1': {'mean': 0.7728956736807128, 'std': 0.008567746318379338}, 'mean_absolute_stage_error': {'mean': 0.20143098696343978, 'std': 0.008032495378309159}, 'precision': {'mean': 0.7669467409231494, 'std': 0.010545156668190059}, 'quadratic_weighted_kappa': {'mean': 0.591944709871267, 'std': 0.016054693160056633}, 'recall': {'mean': 0.7789870457400081, 'std': 0.008467454759761251}, 'roc_auc': {'mean': 0.8750311377075409, 'std': 0.006388912228792858}}",0.7789870457400081,COMPLETE
