number,value,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
0,0.7967955919834739,,log2,7,2,200,0.7967124850916293,"{'accuracy': {'mean': 0.813453214267394, 'std': 0.007134789912330119}, 'balanced_accuracy': {'mean': 0.8153418915111853, 'std': 0.007676868278967772}, 'brier_score': {'mean': 0.1382208423051409, 'std': 0.0011376681513893317}, 'cohen_kappa': {'mean': 0.6249012899709784, 'std': 0.014624376182124256}, 'f1': {'mean': 0.7967124850916293, 'std': 0.008567877258893733}, 'mean_absolute_stage_error': {'mean': 0.18654678573260597, 'std': 0.007134789912330125}, 'precision': {'mean': 0.7651912173501842, 'std': 0.007104286772429456}, 'quadratic_weighted_kappa': {'mean': 0.6249012899709784, 'std': 0.014624376182124256}, 'recall': {'mean': 0.8310689184468762, 'std': 0.014478609489585193}, 'roc_auc': {'mean': 0.8937187803381896, 'std': 0.0029629313278123157}}",0.8310689184468762,COMPLETE
1,0.7960548881339677,,log2,4,7,320,0.7959738955190603,"{'accuracy': {'mean': 0.8173704146357716, 'std': 0.006888559825002084}, 'balanced_accuracy': {'mean': 0.8165735768956959, 'std': 0.007459359655345222}, 'brier_score': {'mean': 0.1351474107863813, 'std': 0.0014275099069578372}, 'cohen_kappa': {'mean': 0.6307699574208347, 'std': 0.014234205157618718}, 'f1': {'mean': 0.7959738955190603, 'std': 0.0085643057696064}, 'mean_absolute_stage_error': {'mean': 0.18262958536422835, 'std': 0.006888559825002115}, 'precision': {'mean': 0.7825939962744682, 'std': 0.006680537801158472}, 'quadratic_weighted_kappa': {'mean': 0.6307699574208347, 'std': 0.014234205157618718}, 'recall': {'mean': 0.809926149074324, 'std': 0.01388776355599978}, 'roc_auc': {'mean': 0.8968651895470032, 'std': 0.003184652942889937}}",0.809926149074324,COMPLETE
2,0.7962185265695185,10.0,sqrt,1,8,160,0.7961354863194015,"{'accuracy': {'mean': 0.8129645050608776, 'std': 0.00649736777749369}, 'balanced_accuracy': {'mean': 0.8148338576982048, 'std': 0.007430618319251617}, 'brier_score': {'mean': 0.13927083611735122, 'std': 0.0015189870055217873}, 'cohen_kappa': {'mean': 0.6238992679363766, 'std': 0.01366380852578369}, 'f1': {'mean': 0.7961354863194015, 'std': 0.00855881336450344}, 'mean_absolute_stage_error': {'mean': 0.18703549493912228, 'std': 0.006497367777493713}, 'precision': {'mean': 0.7646718334540161, 'std': 0.0033246630607659893}, 'quadratic_weighted_kappa': {'mean': 0.6238992679363766, 'std': 0.01366380852578369}, 'recall': {'mean': 0.8304025011705658, 'std': 0.015459264421808653}, 'roc_auc': {'mean': 0.8925172470669847, 'std': 0.003947210664045671}}",0.8304025011705658,COMPLETE
3,0.7881192750421951,,,1,6,320,0.7880418881906823,"{'accuracy': {'mean': 0.8168812260205772, 'std': 0.009098624572783914}, 'balanced_accuracy': {'mean': 0.8122708304400266, 'std': 0.009458356756120062}, 'brier_score': {'mean': 0.13349203169694485, 'std': 0.0023618950381307686}, 'cohen_kappa': {'mean': 0.6269564930242353, 'std': 0.018675731292391418}, 'f1': {'mean': 0.7880418881906823, 'std': 0.011022578448845402}, 'mean_absolute_stage_error': {'mean': 0.18311877397942283, 'std': 0.009098624572783898}, 'precision': {'mean': 0.802868725129993, 'std': 0.010925556333997624}, 'quadratic_weighted_kappa': {'mean': 0.6269564930242353, 'std': 0.018675731292391418}, 'recall': {'mean': 0.7738685151281677, 'std': 0.014542302560925391}, 'roc_auc': {'mean': 0.8945229980091977, 'std': 0.004641148677769819}}",0.7738685151281677,COMPLETE
4,0.7976667862600404,,sqrt,7,12,160,0.7975841021591711,"{'accuracy': {'mean': 0.815412557535034, 'std': 0.005026592798229308}, 'balanced_accuracy': {'mean': 0.8166380982137769, 'std': 0.005913589022408406}, 'brier_score': {'mean': 0.13635612252452084, 'std': 0.0011929572575119234}, 'cohen_kappa': {'mean': 0.6283265552068751, 'std': 0.010688883022717819}, 'f1': {'mean': 0.7975841021591711, 'std': 0.0069484247571240864}, 'mean_absolute_stage_error': {'mean': 0.184587442464966, 'std': 0.005026592798229306}, 'precision': {'mean': 0.770425514581614, 'std': 0.0028671276598771405}, 'quadratic_weighted_kappa': {'mean': 0.6283265552068751, 'std': 0.010688883022717819}, 'recall': {'mean': 0.8268410086931531, 'std': 0.013912969079088762}, 'roc_auc': {'mean': 0.8954317028899752, 'std': 0.002958367082431218}}",0.8268410086931531,COMPLETE
5,0.7975578553198078,18.0,,7,4,320,0.7974757498871444,"{'accuracy': {'mean': 0.8164892135444457, 'std': 0.008704080878437477}, 'balanced_accuracy': {'mean': 0.8169789464418372, 'std': 0.00834958659018205}, 'brier_score': {'mean': 0.1344297078368419, 'std': 0.002352677470019944}, 'cohen_kappa': {'mean': 0.6299764383209523, 'std': 0.017153144800807357}, 'f1': {'mean': 0.7974757498871444, 'std': 0.00873997213258771}, 'mean_absolute_stage_error': {'mean': 0.18351078645555424, 'std': 0.008704080878437489}, 'precision': {'mean': 0.775337280010796, 'std': 0.012581863020938543}, 'quadratic_weighted_kappa': {'mean': 0.6299764383209523, 'std': 0.017153144800807357}, 'recall': {'mean': 0.8210543266336513, 'std': 0.009566396746389622}, 'roc_auc': {'mean': 0.8939645382121857, 'std': 0.004507589339038422}}",0.8210543266336513,COMPLETE
6,0.7924526116860509,10.0,,7,2,120,0.7923688370391405,"{'accuracy': {'mean': 0.806893081797188, 'std': 0.006725511878540543}, 'balanced_accuracy': {'mean': 0.8102000398548131, 'std': 0.007354080687967998}, 'brier_score': {'mean': 0.1388187581521, 'std': 0.0024681924163700844}, 'cohen_kappa': {'mean': 0.6128708289556069, 'std': 0.013840626554028908}, 'f1': {'mean': 0.7923688370391405, 'std': 0.008272083564421258}, 'mean_absolute_stage_error': {'mean': 0.19310691820281195, 'std': 0.006725511878540539}, 'precision': {'mean': 0.7517936611459538, 'std': 0.006824116799142935}, 'quadratic_weighted_kappa': {'mean': 0.6128708289556069, 'std': 0.013840626554028908}, 'recall': {'mean': 0.83774646910326, 'std': 0.015577974146534796}, 'roc_auc': {'mean': 0.8880075436828221, 'std': 0.004918960082355783}}",0.83774646910326,COMPLETE
7,0.7913830353162781,10.0,log2,3,2,120,0.7913001954124999,"{'accuracy': {'mean': 0.8077741870067783, 'std': 0.0043626053987011705}, 'balanced_accuracy': {'mean': 0.8099856662522701, 'std': 0.004686320125297648}, 'brier_score': {'mean': 0.1427007666185581, 'std': 0.0011954441003946634}, 'cohen_kappa': {'mean': 0.6138013768796469, 'std': 0.008902569720944544}, 'f1': {'mean': 0.7913001954124999, 'std': 0.0053361608293986795}, 'mean_absolute_stage_error': {'mean': 0.19222581299322167, 'std': 0.0043626053987011635}, 'precision': {'mean': 0.7575003739729735, 'std': 0.006112593514948866}, 'quadratic_weighted_kappa': {'mean': 0.6138013768796469, 'std': 0.008902569720944544}, 'recall': {'mean': 0.828399037782639, 'std': 0.011642942747803232}, 'roc_auc': {'mean': 0.8888956188797801, 'std': 0.0031944076110405795}}",0.828399037782639,COMPLETE
8,0.7999224988057589,14.0,sqrt,4,10,320,0.799840348978309,"{'accuracy': {'mean': 0.8191326250549522, 'std': 0.007925146750768126}, 'balanced_accuracy': {'mean': 0.8193869233481689, 'std': 0.008265485054821558}, 'brier_score': {'mean': 0.13414767901068067, 'std': 0.001015333407698912}, 'cohen_kappa': {'mean': 0.635084325486679, 'std': 0.016116233200550303}, 'f1': {'mean': 0.799840348978309, 'std': 0.009185096702640515}, 'mean_absolute_stage_error': {'mean': 0.1808673749450478, 'std': 0.007925146750768114}, 'precision': {'mean': 0.7793946359741717, 'std': 0.008937908183487924}, 'quadratic_weighted_kappa': {'mean': 0.635084325486679, 'std': 0.016116233200550303}, 'recall': {'mean': 0.8214982744995059, 'std': 0.013513162455069026}, 'roc_auc': {'mean': 0.898373443048372, 'std': 0.0026416661801063994}}",0.8214982744995059,COMPLETE
9,0.8009222139830301,18.0,sqrt,4,4,120,0.8008407986019211,"{'accuracy': {'mean': 0.8218746509305562, 'std': 0.008464068417382386}, 'balanced_accuracy': {'mean': 0.8210472418574973, 'std': 0.008914441465956395}, 'brier_score': {'mean': 0.13369071577133382, 'std': 0.001018475756212253}, 'cohen_kappa': {'mean': 0.6398088031652721, 'std': 0.017321424175366657}, 'f1': {'mean': 0.8008407986019211, 'std': 0.010019530117072968}, 'mean_absolute_stage_error': {'mean': 0.1781253490694438, 'std': 0.00846406841738238}, 'precision': {'mean': 0.7880068643322482, 'std': 0.008180456563554593}, 'quadratic_weighted_kappa': {'mean': 0.6398088031652721, 'std': 0.017321424175366657}, 'recall': {'mean': 0.8141538110892824, 'std': 0.013517520651613033}, 'roc_auc': {'mean': 0.8979539432513148, 'std': 0.002568814719324719}}",0.8141538110892824,COMPLETE
