number,value,params_C,params_gamma,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
0,0.6111846291024042,0.31489116479568624,0.6351221010640696,0.6110846291024042,"{'accuracy': {'mean': 0.43997256823543573, 'std': 0.00018690203387130894}, 'balanced_accuracy': {'mean': 0.5, 'std': 0.0}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.0, 'std': 0.0}, 'f1': {'mean': 0.6110846291024042, 'std': 0.00018027135983365132}, 'mean_absolute_stage_error': {'mean': 0.5600274317645643, 'std': 0.00018690203387131682}, 'precision': {'mean': 0.43997256823543573, 'std': 0.00018690203387130894}, 'quadratic_weighted_kappa': {'mean': 0.0, 'std': 0.0}, 'recall': {'mean': 1.0, 'std': 0.0}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",1.0,COMPLETE
1,0.8077948523358824,8.471801418819979,0.024810409748678097,0.8077128578406377,"{'accuracy': {'mean': 0.8282411502356533, 'std': 0.0019055012989724314}, 'balanced_accuracy': {'mean': 0.8273533564978532, 'std': 0.001841714887827556}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6525880727439722, 'std': 0.0037287577019398236}, 'f1': {'mean': 0.8077128578406377, 'std': 0.00215820507509961}, 'mean_absolute_stage_error': {'mean': 0.17175884976434666, 'std': 0.0019055012989724275}, 'precision': {'mean': 0.7959191776979014, 'std': 0.005297598472589341}, 'quadratic_weighted_kappa': {'mean': 0.6525880727439722, 'std': 0.0037287577019398236}, 'recall': {'mean': 0.8199449524465441, 'std': 0.006871575236233504}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8199449524465441,COMPLETE
2,0.7062541314484009,0.04207988669606638,0.0004207053950287938,0.7061687323784122,"{'accuracy': {'mean': 0.6873289889318919, 'std': 0.00616319708134196}, 'balanced_accuracy': {'mean': 0.7051901538271719, 'std': 0.005911317607019181}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.392765370015601, 'std': 0.011521773697100586}, 'f1': {'mean': 0.7061687323784122, 'std': 0.005388128621629145}, 'mean_absolute_stage_error': {'mean': 0.3126710110681082, 'std': 0.006163197081341972}, 'precision': {'mean': 0.6020322428215009, 'std': 0.005739431923386771}, 'quadratic_weighted_kappa': {'mean': 0.392765370015601, 'std': 0.011521773697100586}, 'recall': {'mean': 0.8539906998867834, 'std': 0.010765328722773835}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8539906998867834,COMPLETE
3,0.6111846291024042,0.017073967431528128,0.29154431891537513,0.6110846291024042,"{'accuracy': {'mean': 0.43997256823543573, 'std': 0.00018690203387130894}, 'balanced_accuracy': {'mean': 0.5, 'std': 0.0}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.0, 'std': 0.0}, 'f1': {'mean': 0.6110846291024042, 'std': 0.00018027135983365132}, 'mean_absolute_stage_error': {'mean': 0.5600274317645643, 'std': 0.00018690203387131682}, 'precision': {'mean': 0.43997256823543573, 'std': 0.00018690203387130894}, 'quadratic_weighted_kappa': {'mean': 0.0, 'std': 0.0}, 'recall': {'mean': 1.0, 'std': 0.0}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",1.0,COMPLETE
4,0.8121051620404072,2.5378155082656657,0.06796578090758151,0.8120203857856723,"{'accuracy': {'mean': 0.8272614306609656, 'std': 0.00647793613012577}, 'balanced_accuracy': {'mean': 0.8294600015957834, 'std': 0.005703365228011436}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6527731143582279, 'std': 0.012432115051191114}, 'f1': {'mean': 0.8120203857856723, 'std': 0.00565401047317852}, 'mean_absolute_stage_error': {'mean': 0.17273856933903448, 'std': 0.006477936130125764}, 'precision': {'mean': 0.7792696125482054, 'std': 0.011182941635256889}, 'quadratic_weighted_kappa': {'mean': 0.6527731143582279, 'std': 0.012432115051191114}, 'recall': {'mean': 0.8477625473490713, 'std': 0.003430864158826761}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8477625473490713,COMPLETE
5,0.6111846291024042,0.012087541473056965,0.7579479953348001,0.6110846291024042,"{'accuracy': {'mean': 0.43997256823543573, 'std': 0.00018690203387130894}, 'balanced_accuracy': {'mean': 0.5, 'std': 0.0}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.0, 'std': 0.0}, 'f1': {'mean': 0.6110846291024042, 'std': 0.00018027135983365132}, 'mean_absolute_stage_error': {'mean': 0.5600274317645643, 'std': 0.00018690203387131682}, 'precision': {'mean': 0.43997256823543573, 'std': 0.00018690203387130894}, 'quadratic_weighted_kappa': {'mean': 0.0, 'std': 0.0}, 'recall': {'mean': 1.0, 'std': 0.0}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",1.0,COMPLETE
6,0.801258298967202,21.368329072358772,0.0007068974950624604,0.801173678515376,"{'accuracy': {'mean': 0.8152161917404597, 'std': 0.010277105341223341}, 'balanced_accuracy': {'mean': 0.8185374560413677, 'std': 0.010469472125756045}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6294899076373236, 'std': 0.020624487139416354}, 'f1': {'mean': 0.801173678515376, 'std': 0.011111255359906463}, 'mean_absolute_stage_error': {'mean': 0.18478380825954036, 'std': 0.010277105341223326}, 'precision': {'mean': 0.7607147826964602, 'std': 0.01053639427344365}, 'quadratic_weighted_kappa': {'mean': 0.6294899076373236, 'std': 0.020624487139416354}, 'recall': {'mean': 0.8462045182595856, 'std': 0.012703452538203697}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8462045182595856,COMPLETE
7,0.7155556591698238,0.053370327626039576,0.0005415244119402539,0.7154737989242156,"{'accuracy': {'mean': 0.7135728267325949, 'std': 0.00296370315951848}, 'balanced_accuracy': {'mean': 0.7248283190602722, 'std': 0.002711393598377655}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.43618633820982805, 'std': 0.005361011821777712}, 'f1': {'mean': 0.7154737989242156, 'std': 0.0032287690910197658}, 'mean_absolute_stage_error': {'mean': 0.2864271732674051, 'std': 0.0029637031595184816}, 'precision': {'mean': 0.6355261278468938, 'std': 0.004366357052878883}, 'quadratic_weighted_kappa': {'mean': 0.43618633820982805, 'std': 0.005361011821777712}, 'recall': {'mean': 0.8186024560821105, 'std': 0.011481721356008221}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8186024560821105,COMPLETE
8,0.7935551578489807,0.1648044642797898,0.012561043700013555,0.7934687125534159,"{'accuracy': {'mean': 0.8019959221497837, 'std': 0.008404335724393754}, 'balanced_accuracy': {'mean': 0.8086899312556218, 'std': 0.008322644880029303}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6057687381066387, 'std': 0.016572435278991}, 'f1': {'mean': 0.7934687125534159, 'std': 0.008478096674677115}, 'mean_absolute_stage_error': {'mean': 0.19800407785021645, 'std': 0.008404335724393718}, 'precision': {'mean': 0.7333167567458048, 'std': 0.009579040216101533}, 'quadratic_weighted_kappa': {'mean': 0.6057687381066387, 'std': 0.016572435278991}, 'recall': {'mean': 0.864452955647329, 'std': 0.010436538172021398}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.864452955647329,COMPLETE
9,0.7722346977462435,0.5342937261279778,0.0014618962793704966,0.7721528151298249,"{'accuracy': {'mean': 0.7874052628525872, 'std': 0.00869676018620458}, 'balanced_accuracy': {'mean': 0.7907730934728908, 'std': 0.008940483303996816}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.5741053728917462, 'std': 0.017527179370747593}, 'f1': {'mean': 0.7721528151298249, 'std': 0.009626763149284016}, 'mean_absolute_stage_error': {'mean': 0.2125947371474129, 'std': 0.008696760186204588}, 'precision': {'mean': 0.7305436038379305, 'std': 0.008758850842959829}, 'quadratic_weighted_kappa': {'mean': 0.5741053728917462, 'std': 0.017527179370747593}, 'recall': {'mean': 0.8188261641863888, 'std': 0.011998868612346785}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8188261641863888,COMPLETE
