number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
0,0.8149712701087184,0.7046065241548528,0.10550756919226546,6,2.715939723698229,160,3.3323645788192616e-08,3.905042189404141,0.8595304694689628,0.8148870057565925,"{'accuracy': {'mean': 0.8315692532203078, 'std': 0.0077853311176281845}, 'balanced_accuracy': {'mean': 0.8327569024783787, 'std': 0.007923372437604647}, 'brier_score': {'mean': 0.11823722027587658, 'std': 0.002500742912910713}, 'cohen_kappa': {'mean': 0.6606892820773403, 'std': 0.01567994445063063}, 'f1': {'mean': 0.8148870057565925, 'std': 0.008597906401906762}, 'mean_absolute_stage_error': {'mean': 0.16843074677969203, 'std': 0.007785331117628155}, 'precision': {'mean': 0.7889527263631737, 'std': 0.008948007884940256}, 'quadratic_weighted_kappa': {'mean': 0.6606892820773403, 'std': 0.01567994445063063}, 'recall': {'mean': 0.8426435212597021, 'std': 0.010784103314035823}, 'roc_auc': {'mean': 0.9142968066438828, 'std': 0.003015091309591614}}",0.8426435212597021,COMPLETE
1,0.7873742348046359,0.9413549242801476,0.010685033500506827,5,3.3357302174610375,240,4.329370014459266e-07,0.0009380647315224124,0.989468448256698,0.7872886352148912,"{'accuracy': {'mean': 0.7965131648020065, 'std': 0.004022347779764555}, 'balanced_accuracy': {'mean': 0.8028885873931968, 'std': 0.004311118302780993}, 'brier_score': {'mean': 0.1450750120315728, 'std': 0.0017267135947236785}, 'cohen_kappa': {'mean': 0.5946521440550259, 'std': 0.008171491055848473}, 'f1': {'mean': 0.7872886352148912, 'std': 0.004797304415381006}, 'mean_absolute_stage_error': {'mean': 0.2034868351979934, 'std': 0.004022347779764564}, 'precision': {'mean': 0.7288585989910892, 'std': 0.00475425134115081}, 'quadratic_weighted_kappa': {'mean': 0.5946521440550259, 'std': 0.008171491055848473}, 'recall': {'mean': 0.855995897446061, 'std': 0.010124078640408613}, 'roc_auc': {'mean': 0.8885286830534358, 'std': 0.003924929473100201}}",0.855995897446061,COMPLETE
2,0.7985430820017562,0.8641485131528328,0.04016365455719544,4,2.53443246717246,160,4.258943089524393e-06,0.008751754379612288,0.7519301990693147,0.7984583282912489,"{'accuracy': {'mean': 0.8117886593959547, 'std': 0.007168726612128399}, 'balanced_accuracy': {'mean': 0.8156192980291989, 'std': 0.00758224181578249}, 'brier_score': {'mean': 0.13199538939841354, 'std': 0.002176755856411816}, 'cohen_kappa': {'mean': 0.623026972705006, 'std': 0.014561545454083395}, 'f1': {'mean': 0.7984583282912489, 'std': 0.008267652223440029}, 'mean_absolute_stage_error': {'mean': 0.18821134060404535, 'std': 0.007168726612128393}, 'precision': {'mean': 0.7548242855850236, 'std': 0.007010324829651366}, 'quadratic_weighted_kappa': {'mean': 0.623026972705006, 'std': 0.014561545454083395}, 'recall': {'mean': 0.8475371050734422, 'std': 0.01307411689704781}, 'roc_auc': {'mean': 0.9001700208394239, 'std': 0.0040775529635243436}}",0.8475371050734422,COMPLETE
3,0.8005669024870327,0.8573450991017149,0.01901656047035859,5,1.5109545399199749,200,0.0029369981104377003,0.0008015922222732091,0.8299820534447641,0.8004812138599762,"{'accuracy': {'mean': 0.8120832080878163, 'std': 0.003864961420860543}, 'balanced_accuracy': {'mean': 0.8168845604367307, 'std': 0.0042089048362075315}, 'brier_score': {'mean': 0.1346651013363129, 'std': 0.0015192309594646615}, 'cohen_kappa': {'mean': 0.6243379314464529, 'std': 0.007908630804556598}, 'f1': {'mean': 0.8004812138599762, 'std': 0.004664406381950839}, 'mean_absolute_stage_error': {'mean': 0.18791679191218386, 'std': 0.0038649614208605405}, 'precision': {'mean': 0.751095112939142, 'std': 0.004106672940434514}, 'quadratic_weighted_kappa': {'mean': 0.6243379314464529, 'std': 0.007908630804556598}, 'recall': {'mean': 0.8568862705654141, 'std': 0.009304876051744161}, 'roc_auc': {'mean': 0.8983645804717877, 'std': 0.00321315123722263}}",0.8568862705654141,COMPLETE
4,0.8079966633260318,0.7566148192106797,0.22381833088786565,6,2.0743932540702223,80,0.014391207615728067,0.02154078727929886,0.9329390718407614,0.8079136674954752,"{'accuracy': {'mean': 0.8263800378061683, 'std': 0.003729957610994342}, 'balanced_accuracy': {'mean': 0.8267646332692413, 'std': 0.003884748350327569}, 'brier_score': {'mean': 0.12410999818422266, 'std': 0.002119860265306654}, 'cohen_kappa': {'mean': 0.6497292258493775, 'std': 0.007526672104894984}, 'f1': {'mean': 0.8079136674954752, 'std': 0.0044157597562511615}, 'mean_absolute_stage_error': {'mean': 0.17361996219383163, 'std': 0.003729957610994367}, 'precision': {'mean': 0.7871423359567992, 'std': 0.0069168338072791696}, 'quadratic_weighted_kappa': {'mean': 0.6497292258493775, 'std': 0.007526672104894984}, 'recall': {'mean': 0.8299583055659469, 'std': 0.01045824802916479}, 'roc_auc': {'mean': 0.9075912106699645, 'std': 0.0020053037218416008}}",0.8299583055659469,COMPLETE
5,0.7439932615215218,0.7405729935600059,0.01117051225882753,4,8.287745127893801,80,6.388511557344611e-06,0.0571342038590756,0.9682621407275738,0.7439058144447154,"{'accuracy': {'mean': 0.735115583035261, 'std': 0.0016321868860889107}, 'balanced_accuracy': {'mean': 0.7500518436006738, 'std': 0.002040485961676536}, 'brier_score': {'mean': 0.18984956948018705, 'std': 0.0011667907053507672}, 'cohen_kappa': {'mean': 0.4819692833243905, 'std': 0.0035483543051261185}, 'f1': {'mean': 0.7439058144447154, 'std': 0.0025626495678956916}, 'mean_absolute_stage_error': {'mean': 0.26488441696473897, 'std': 0.0016321868860889107}, 'precision': {'mean': 0.6472879923462782, 'std': 0.0014385698454924324}, 'quadratic_weighted_kappa': {'mean': 0.4819692833243905, 'std': 0.0035483543051261185}, 'recall': {'mean': 0.8744707680644913, 'std': 0.007338912778364312}, 'roc_auc': {'mean': 0.8545529324745011, 'std': 0.005171643810160734}}",0.8744707680644913,COMPLETE
6,0.8052529211933397,0.9788246295474662,0.2266841437863108,2,10.843100854704137,200,0.002404915432737351,7.706957642156787,0.9212964881763901,0.8051683006176443,"{'accuracy': {'mean': 0.8198185150507957, 'std': 0.0060193314668604255}, 'balanced_accuracy': {'mean': 0.8226483024315765, 'std': 0.005943823893127121}, 'brier_score': {'mean': 0.1273745009846523, 'std': 0.002338903249442813}, 'cohen_kappa': {'mean': 0.638324240723445, 'std': 0.011945659544023495}, 'f1': {'mean': 0.8051683006176443, 'std': 0.0062908691221468405}, 'mean_absolute_stage_error': {'mean': 0.18018148494920422, 'std': 0.006019331466860393}, 'precision': {'mean': 0.7679995987978993, 'std': 0.008139038402704366}, 'quadratic_weighted_kappa': {'mean': 0.638324240723445, 'std': 0.011945659544023495}, 'recall': {'mean': 0.8462057569534078, 'std': 0.008844883348066799}, 'roc_auc': {'mean': 0.9038670618918314, 'std': 0.003485131103826124}}",0.8462057569534078,COMPLETE
7,0.7170313810505727,0.7860370513913187,0.011567114555268345,2,3.984839349512855,80,0.28749982347407854,0.007783233969721202,0.7638656157671425,0.7169453363981378,"{'accuracy': {'mean': 0.7011358150402967, 'std': 0.00524780417363144}, 'balanced_accuracy': {'mean': 0.7182104171892163, 'std': 0.006027328904268137}, 'brier_score': {'mean': 0.21019731269186276, 'std': 0.00099783956328661}, 'cohen_kappa': {'mean': 0.4184575496480063, 'std': 0.010992726034346019}, 'f1': {'mean': 0.7169453363981378, 'std': 0.006678682906784674}, 'mean_absolute_stage_error': {'mean': 0.2988641849597033, 'std': 0.005247804173631439}, 'precision': {'mean': 0.6145048803418566, 'std': 0.0033776022328019352}, 'quadratic_weighted_kappa': {'mean': 0.4184575496480063, 'std': 0.010992726034346019}, 'recall': {'mean': 0.8604465243490044, 'std': 0.013649627260665419}, 'roc_auc': {'mean': 0.8160347514684976, 'std': 0.0068243534406632125}}",0.8604465243490044,COMPLETE
8,0.7641462208403645,0.6760927252879199,0.015739959562643655,4,11.855756302605691,120,0.08916674715636537,0.0011308312159169847,0.9307689432639139,0.7640610664124058,"{'accuracy': {'mean': 0.7686052035976745, 'std': 0.00578807417303875}, 'balanced_accuracy': {'mean': 0.7774942365948669, 'std': 0.0055449545509969}, 'brier_score': {'mean': 0.16308306418305035, 'std': 0.0013493722144099123}, 'cohen_kappa': {'mean': 0.5416993147646311, 'std': 0.011153832930317369}, 'f1': {'mean': 0.7640610664124058, 'std': 0.005377078013062837}, 'mean_absolute_stage_error': {'mean': 0.23139479640232546, 'std': 0.005788074173038763}, 'precision': {'mean': 0.6929160355455505, 'std': 0.006660014094898075}, 'quadratic_weighted_kappa': {'mean': 0.5416993147646311, 'std': 0.011153832930317369}, 'recall': {'mean': 0.8515442795880599, 'std': 0.006791258804485345}, 'roc_auc': {'mean': 0.8708385793102128, 'std': 0.004532999983516949}}",0.8515442795880599,COMPLETE
9,0.8137269066306173,0.919944621340081,0.0973070174846508,6,1.8144911690749939,80,1.683416412018213e-05,0.00041136312651386746,0.9051525088143455,0.8136419524746756,"{'accuracy': {'mean': 0.82882775469425, 'std': 0.006528401463272698}, 'balanced_accuracy': {'mean': 0.8310479670877629, 'std': 0.007103056916277399}, 'brier_score': {'mean': 0.12204864406345425, 'std': 0.0029622077648990782}, 'cohen_kappa': {'mean': 0.6558873155069712, 'std': 0.013440790450234599}, 'f1': {'mean': 0.8136419524746756, 'std': 0.007990609578175862}, 'mean_absolute_stage_error': {'mean': 0.1711722453057501, 'std': 0.006528401463272686}, 'precision': {'mean': 0.7807669378117356, 'std': 0.006717318186786431}, 'quadratic_weighted_kappa': {'mean': 0.6558873155069712, 'std': 0.013440790450234599}, 'recall': {'mean': 0.8495415594164266, 'std': 0.014231418294257645}, 'roc_auc': {'mean': 0.909882970352127, 'std': 0.003937133131206087}}",0.8495415594164266,COMPLETE
