feature,shap_mean_abs,permutation_importance_mean,permutation_importance_std,model_native_importance
rgb_b_std,0.15203608597103158,0.0038693712199199676,0.010062737824577768,0.02625279314815998
all_lesion_circularity_mean,0.15137046938191634,0.015606948658144645,0.011385145236521697,0.02030879072844982
lab_b_exudate_std,0.1400744119849114,0.011686246693232413,0.007555531251164603,0.02054176852107048
all_lesion_eccentricity_mean,0.11859541219302919,0.013107078696056096,0.014148989806462006,0.015765918418765068
lab_color_a_min,0.11372117221178486,0.010752352105661236,0.003680145751972471,0.02513635717332363
quality_blur_score,0.11248954894662602,0.022892555993949112,0.006589216186112564,0.012680432759225368
hard_exudate_brightness_mean,0.09627197761695133,0.011198944179999795,0.008789995395696373,0.011519242078065872
hsv_v_min,0.08742089558684965,0.010890719210953262,0.005385864036126668,0.046106208115816116
lab_color_b_min,0.08600331992215943,0.011955295081654063,0.00730678543346029,0.017433933913707733
lab_color_b_entropy,0.08133671172488248,0.024730318631247597,0.00740627427995184,0.011118250899016857
lbp_entropy,0.07664981303308159,0.004116629806404079,0.004974366088513142,0.015618705190718174
vessel_area_ratio,0.06975037232171744,0.00558853587458856,0.007055624272406897,0.013036989606916904
all_lesion_compactness_mean,0.06886801862806315,0.008738419077823745,0.005022092650050663,0.018791528418660164
all_lesion_solidity_mean,0.06738794367723167,0.0112653109434597,0.00751061604147759,0.01349995844066143
stage_progression_score,0.0628449409636436,0.005140964638223985,0.006579077444845325,0.01312342844903469
wavelet_vertical_energy,0.06267265808765078,0.004508655809940129,0.005044322345948514,0.012846148572862148
lesion_density_score,0.060895622338016986,0.0038898331644139916,0.008256063980909271,0.01940859481692314
nasal_vessel_density,0.059047139158908975,0.009473526324361409,0.0074797309613006575,0.014560731127858162
nasal_texture_mean,0.05833799492229009,0.00435310824444779,0.002739863421876532,0.013785337097942829
hard_exudate_brightness_std,0.057451425942278,0.006782053539188537,0.004648359807716545,0.01116629783064127
temporal_lesion_density,0.0570646446789382,-0.0015057483324076304,0.004878730083505106,0.011435945518314838
lbp_uniform_ratio,0.05295100816665217,0.005933707735774299,0.005406711106163632,0.013438330963253975
hsv_s_std,0.051761976499820596,0.004500003117745829,0.002837797836016441,0.010241290554404259
fft_dominant_radius_std,0.05033154019950889,-2.990165562795355e-05,0.005254846555822705,0.010043964721262455
texture_mean,0.048000226259656484,0.0022447924495329064,0.003222087668409724,0.01662473753094673
nasal_texture_std,0.04344669913724065,0.016654174088875998,0.009262758672770386,0.01360396109521389
lbp_std,0.03986335583078908,0.007469173598489559,0.0055830981834877995,0.01608983241021633
combined_lesion_burden,0.03804914791500196,0.005740371893422996,0.005196297055576838,0.016538705676794052
total_lesion_count,0.037081033163145184,0.008429665828872099,0.008200413349876652,0.012554679065942764
rgb_b_max,0.03701297331417445,0.003305868581387511,0.004319802388846335,0.010414366610348225
texture_kurtosis,0.03681884615274612,0.006373511544389782,0.005632675957425763,0.012478869408369064
glcm_correlation,0.0365846352518478,0.004349957903272486,0.002955925988257123,0.012377407401800156
fft_high_frequency_ratio,0.035381921155983584,0.011796998590457394,0.004766253738359939,0.009788984432816505
temporal_texture_mean,0.03528988106466131,-0.00043368703018586974,0.0053447340642780025,0.012223769910633564
texture_skewness,0.03341346744887996,0.008622505623587698,0.004734486793575488,0.009942252188920975
lab_color_l_min,0.0328343436716008,0.003569885160586442,0.008195230662462478,0.015154867433011532
area_adjusted_exudate_count,0.03111916840096237,0.00606323431729576,0.008325311062308622,0.010092840529978275
superior_texture_mean,0.030951980164682025,0.0025053815391991308,0.0029894131634071895,0.011834714561700821
lbp_mean,0.02727812686294201,0.007316425135627594,0.0046309588597254325,0.017576923593878746
wavelet_approx_energy,0.025101105057052337,0.0030397321441207464,0.003132987482026481,0.0106129702180624
vessel_length,0.02504965844711987,0.004580661119054696,0.00307012712588889,0.011359024792909622
fft_low_frequency_ratio,0.02495845613235724,-0.0044669083268574356,0.004918567272422932,0.014913363382220268
all_lesion_area,0.024417384951288115,0.00686515501285867,0.0047344094980062345,0.011321892030537128
glcm_homogeneity,0.02238363954467932,0.018337435052060175,0.006220235628790717,0.012525606900453568
superior_lesion_count,0.021748411881551147,0.00548488822683689,0.006709724098670477,0.01037557516247034
hard_exudate_area,0.021180642931640615,0.0009503318696076207,0.006637874068999293,0.012849641963839531
wavelet_detail_energy,0.020432499455311337,0.004711464414212843,0.002867207194270765,0.009893401525914669
hard_exudate_count,0.020419165006797992,-0.0036545469370324046,0.002926863476973167,0.008423256687819958
exudate_density,0.019912338014342824,0.005221291178110515,0.004894185995968363,0.019048070535063744
temporal_lesion_count,0.019452442987251562,0.002218895894195466,0.0033862733927978927,0.008239265531301498
all_lesion_aspect_ratio_mean,0.018739020596060436,0.0030965511255511696,0.0032571391902864386,0.00903047900646925
lab_color_a_max,0.017984299513191217,0.001018675717893061,0.0029886949726892352,0.00999440997838974
rgb_r_min,0.017670304869837127,0.0028082186234924117,0.002115488551254983,0.012518126517534256
inferior_texture_mean,0.016302937288791872,0.0024194618721857103,0.0042274327692010975,0.00913135427981615
