feature,selected,consensus_rank,consensus_score,mutual_info,mutual_info_rank,anova_f,anova_rank,rfe_rank,rfe_selected
rgb_b_std,True,1,9.0,0.2482738732216434,5,269.2471086975497,3,1,True
lab_color_a_min,True,2,9.0,0.2328346781114563,6,285.3284967199466,2,1,True
lbp_uniform_ratio,True,3,13.0,0.2123838914261813,8,268.8026716820323,4,1,True
lab_b_exudate_std,True,4,15.0,0.2031071976766503,9,266.52477526297463,5,1,True
wavelet_vertical_energy,True,5,15.0,0.18452690534455485,13,286.26908657127166,1,1,True
area_adjusted_exudate_count,True,6,19.0,0.37074751130254247,1,165.13641302308193,17,1,True
wavelet_diagonal_energy,True,7,23.0,0.17794300411205377,15,220.8942877826093,7,1,True
all_lesion_circularity_mean,True,8,29.0,0.14763794858686685,22,227.02671074557503,6,1,True
lbp_entropy,True,9,30.0,0.15450826148642438,21,202.90510259405468,8,1,True
texture_skewness,True,10,32.0,0.1552317965756469,20,188.92316902971882,11,1,True
rgb_b_max,True,11,37.0,0.17989561509101515,14,153.96113375787994,22,1,True
all_lesion_eccentricity_mean,True,12,39.0,0.13907771024706728,26,188.68881778560532,12,1,True
temporal_texture_mean,True,13,43.0,0.13048261381571313,32,189.2057635752474,10,1,True
vessel_skeleton_length,True,14,45.0,0.20172314537921432,10,113.35643898854408,34,1,True
glcm_contrast_90,True,15,46.0,0.1556899228828139,19,144.31655042656965,26,1,True
vessel_length,True,16,47.0,0.20152735386258191,11,113.35643898854408,35,1,True
inferior_texture_mean,True,17,47.0,0.12056547291848174,37,192.57703735207338,9,1,True
temporal_lesion_density,True,18,47.0,0.1429699451238018,23,149.22420117927825,23,1,True
fft_low_frequency_ratio,True,19,47.0,0.17694338702042334,16,137.21647515789942,30,1,True
lab_color_l_max,True,20,48.0,0.13200288325330822,31,165.5551964428279,16,1,True
hsv_s_std,True,21,49.0,0.19074549010037334,12,113.14823119840307,36,1,True
texture_mean,True,22,50.0,0.1278289443420637,34,166.70932796565717,15,1,True
hard_exudate_brightness_std,True,23,52.0,0.13789903913900625,27,148.75152802890744,24,1,True
lab_color_b_min,True,24,56.0,0.15644673737278314,18,110.87342208535608,37,1,True
hard_exudate_area,True,25,56.0,0.12080076550167407,36,156.95987426253774,19,1,True
all_lesion_solidity_mean,True,26,57.0,0.11420300715693132,42,169.1122560599894,14,1,True
fft_mid_frequency_ratio,True,27,61.0,0.13632594525688901,28,131.23769036414274,32,1,True
exudate_area,True,28,63.0,0.11197410421194176,44,156.95987426253774,18,1,True
rgb_g_max,True,29,64.0,0.10951300742747527,50,180.96000362995488,13,1,True
fft_high_frequency_ratio,True,30,66.0,0.14293300069538262,24,104.68518852022457,41,1,True
exudate_density,True,31,66.0,0.11205234885242232,43,155.14920757645947,20,3,False
quality_sharpness,True,32,72.0,0.11843710357698134,40,142.06774036368347,29,3,False
hard_exudate_coverage_pct,True,33,73.0,0.11011513897655245,49,155.1492075764581,21,3,False
quality_blur_score,True,34,81.0,0.16906613869139608,17,80.72322448144456,63,1,True
vessel_endpoint_count,True,35,84.0,0.10338022002706015,56,146.52125402370754,25,3,False
wavelet_detail_energy,True,36,87.0,0.1080717741197077,51,125.4940961154991,33,3,False
temporal_lesion_count,True,37,89.0,0.10083916794115177,57,135.189467305944,31,1,True
exudate_count,True,38,95.0,0.09393903909314183,67,143.57260715238803,27,1,True
