rank,model,candidate_type,f1_mean,f1_std,recall_mean,recall_std,precision_mean,accuracy_mean,roc_auc_mean,balanced_accuracy_mean,cohen_kappa_mean,quadratic_weighted_kappa_mean,brier_score_mean,best_params,calibration
1,XGBoost,optimized_model,0.5865427344409421,0.022251730955693393,0.591450661944058,0.026021834933938108,0.5864998587619634,0.7548191845638615,0.8995921526490822,0.591450661944058,0.6262800820388419,0.7982713051895761,0.347578641960767,"{""colsample_bytree"": 0.8896140219352956, ""learning_rate"": 0.0234659871844148, ""max_depth"": 5, ""min_child_weight"": 7.262585331096916, ""n_estimators"": 280, ""reg_alpha"": 0.0016537913127711, ""reg_lambda"": 0.0001005228726686, ""subsample"": 0.7371306743213336}",{}
2,LightGBM,optimized_model,0.5735652521811655,0.02579914078719839,0.5684730082581317,0.02707375222661592,0.5819204094633663,0.76148216425477,0.8937711235465773,0.5684730082581317,0.6337462189067276,0.8025460708229856,0.381170743423349,"{""colsample_bytree"": 0.9983024050842252, ""learning_rate"": 0.118943875326998, ""max_depth"": 4, ""min_child_samples"": 26, ""n_estimators"": 280, ""num_leaves"": 18, ""reg_alpha"": 0.026346616202884, ""reg_lambda"": 0.0009881063425578, ""subsample"": 0.9393131393629214}",{}
3,CatBoost,optimized_model,0.5694849810289209,0.025264164528836425,0.5863459103200264,0.0269921704973937,0.5623104649322862,0.737632347067318,0.8973194194442009,0.5863459103200264,0.6047198966002579,0.7868803039476077,0.37025992370048116,"{""depth"": 5, ""iterations"": 200, ""l2_leaf_reg"": 5.131114404088076, ""learning_rate"": 0.1033393060185819}",{}
4,LightGBM Calibrated Sigmoid,calibrated_model,0.5677719770602521,0.031147565695183003,0.5773766677705333,0.035890271291930835,0.5640931761210066,0.7467502381171844,0.8993610638696354,0.5773766677705333,0.6154023349269442,0.79451263195908,0.43334160987024506,"{""colsample_bytree"": 0.9983024050842252, ""learning_rate"": 0.118943875326998, ""max_depth"": 4, ""min_child_samples"": 26, ""n_estimators"": 280, ""num_leaves"": 18, ""reg_alpha"": 0.026346616202884, ""reg_lambda"": 0.0009881063425578, ""subsample"": 0.9393131393629214}","{""base_model"": ""LightGBM"", ""method"": ""sigmoid""}"
5,HistGradientBoosting,optimized_model,0.5677092531272354,0.021434297552518834,0.5610955763822603,0.02036037777631148,0.5808377586934251,0.7604270746919839,0.8920860936032475,0.5610955763822603,0.6312355493537739,0.8036987520876652,0.37812119504193936,"{""l2_regularization"": 0.2854666387751133, ""learning_rate"": 0.0595318090712982, ""max_iter"": 280, ""max_leaf_nodes"": 19, ""min_samples_leaf"": 10}",{}
6,XGBoost Calibrated Sigmoid,calibrated_model,0.563553361810772,0.024481011917269688,0.5938260649991445,0.028363782699549055,0.5558846468910131,0.7267582265646603,0.9005047751987016,0.5938260649991445,0.5928945141655523,0.779667267816895,0.41017791634646494,"{""colsample_bytree"": 0.8896140219352956, ""learning_rate"": 0.0234659871844148, ""max_depth"": 5, ""min_child_weight"": 7.262585331096916, ""n_estimators"": 280, ""reg_alpha"": 0.0016537913127711, ""reg_lambda"": 0.0001005228726686, ""subsample"": 0.7371306743213336}","{""base_model"": ""XGBoost"", ""method"": ""sigmoid""}"
7,Extra Trees,optimized_model,0.5596826847729515,0.018859969096446702,0.5559054962119989,0.022322333414514055,0.5765863743738573,0.7457000645220757,0.8758659402352494,0.5559054962119989,0.6061156616119617,0.7872577209892307,0.392885934816151,"{""max_depth"": 14, ""max_features"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 320}",{}
8,Random Forest,optimized_model,0.5579883058589086,0.015535735688265592,0.5622251107817202,0.018337792313690825,0.5612371700777187,0.7379826097643407,0.8833187092755846,0.5622251107817202,0.5993216341660819,0.7781323358122344,0.3966355090893419,"{""max_depth"": 14, ""max_features"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 8, ""n_estimators"": 320}",{}
9,Stacking Ensemble,ensemble,0.5477697035610973,0.014777594912306874,0.5911683712132103,0.02212291047560418,0.5467167998516929,0.7172894583218115,0.9022623234436662,0.5911683712132103,0.5825108512900916,0.8081615146805753,0.38038219266632856,{},{}
10,Soft Voting Ensemble,ensemble,0.5459769798397451,0.038565591536911706,0.5302298115603337,0.037370789355432026,0.5988458132152316,0.7656883890988417,0.9056671068703539,0.5302298115603337,0.6312144227158977,0.7995796948561846,0.329002860911616,{},{}
